Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,1-2,4-0,1-3,3-0,1-0,0-1,3-1,0-1,0-1,2-1,1-1,0-1,0-1,1-3,2-1,1-0,4-0,1-0,1-2,1-0,3-0,0-3,1-1,1-1,1-0,0-1,3-1,1-0,3-0
2,Boston Celtics,2-1,,3-0,1-3,2-1,0-2,0-1,1-2,1-0,1-0,2-2,1-0,0-2,1-0,3-1,3-0,1-0,3-0,0-1,2-2,0-2,3-0,1-2,0-1,1-0,0-1,0-1,2-2,1-0,4-0
3,Charlotte Hornets,0-4,0-3,,0-3,0-3,0-1,0-1,0-4,1-0,0-2,0-3,0-1,0-1,0-1,0-3,1-2,0-2,0-4,1-1,1-3,0-1,1-3,0-3,0-1,0-1,0-1,0-1,2-1,0-1,0-4
4,Chicago Bulls,3-1,3-1,3-0,,3-0,1-0,0-1,4-0,0-1,0-1,2-1,1-0,1-0,1-1,2-2,4-0,1-0,2-1,2-0,3-1,0-1,2-1,2-1,1-0,0-1,2-0,1-0,3-0,1-0,2-1
5,Cleveland Cavaliers,0-3,1-2,3-0,0-3,,1-0,1-0,2-2,0-1,1-0,1-3,1-0,0-1,0-1,0-3,0-4,1-0,2-2,0-1,2-2,1-0,0-3,0-3,1-1,0-1,1-0,0-2,1-3,0-2,1-2
6,Dallas Mavericks,0-1,2-0,1-0,0-1,0-1,,3-1,1-0,2-1,3-0,0-1,1-2,0-4,1-2,0-2,1-0,1-2,0-1,2-1,1-1,1-3,1-0,1-0,3-1,2-1,2-1,2-2,1-0,3-1,1-0
7,Denver Nuggets,1-0,1-0,1-0,1-0,0-1,1-3,,1-0,1-2,3-1,1-0,1-3,1-3,0-3,1-0,2-0,3-1,1-0,2-2,1-0,1-2,2-0,1-0,3-0,1-2,3-0,1-2,1-1,1-2,1-0
8,Detroit Pistons,1-3,2-1,4-0,0-4,2-2,0-1,0-1,,0-1,0-1,1-2,0-1,1-0,0-2,0-3,1-3,0-2,2-1,1-0,0-3,0-1,2-1,1-3,0-1,1-0,2-0,0-1,2-1,0-1,2-1
9,Golden State Warriors,1-0,0-1,0-1,1-0,1-0,1-2,2-1,1-0,,1-2,0-2,2-2,0-4,0-4,1-0,0-1,2-1,0-2,1-2,1-0,0-3,0-1,0-2,2-1,1-3,3-1,0-3,0-1,1-3,1-0
10,Houston Rockets,1-0,0-1,2-0,1-0,0-1,0-3,1-3,1-0,2-1,,0-1,0-3,2-1,2-2,0-1,0-1,1-3,1-0,2-1,1-0,2-2,0-1,1-0,2-2,3-0,3-0,2-2,1-1,1-2,2-0
11,Indiana Pacers,1-2,2-2,3-0,1-2,3-1,1-0,0-1,2-1,2-0,1-0,,1-0,1-0,0-1,1-3,3-0,2-0,3-1,2-0,1-2,1-0,1-3,2-2,0-1,1-0,0-1,0-1,3-0,1-0,3-0
12,Los Angeles Clippers,1-1,0-1,1-0,0-1,0-1,2-1,3-1,1-0,2-2,3-0,0-1,,1-2,2-1,1-0,1-0,1-3,1-1,2-1,0-1,3-1,1-0,1-0,1-3,3-1,3-0,1-2,1-0,2-1,2-0
13,Los Angeles Lakers,1-0,2-0,1-0,0-1,1-0,4-0,3-1,0-1,4-0,1-2,0-1,2-1,,2-1,1-1,0-1,4-0,1-0,3-0,1-1,1-2,0-1,0-1,2-2,2-1,1-2,1-2,1-0,2-2,0-1
14,Memphis Grizzlies,1-0,0-1,1-0,1-1,1-0,2-1,3-0,2-0,4-0,2-2,1-0,1-2,1-2,,1-0,1-0,4-0,1-0,3-1,1-0,1-3,1-0,1-0,1-2,1-2,2-1,0-4,1-1,1-2,1-0
15,Miami Heat,3-1,1-3,3-0,2-2,3-0,2-0,0-1,3-0,0-1,1-0,3-1,0-1,1-1,0-1,,1-2,1-0,3-0,1-0,3-0,1-1,2-2,4-0,1-0,1-0,1-0,1-0,3-0,0-1,1-2
16,Milwaukee Bucks,1-2,0-3,2-1,0-4,4-0,0-1,0-2,3-1,1-0,1-0,0-3,0-1,1-0,0-1,2-1,,1-0,3-0,0-1,2-2,0-1,0-4,1-2,0-2,2-0,0-1,1-0,3-0,0-1,3-1
17,Minnesota Timberwolves,0-1,0-1,2-0,0-1,0-1,2-1,1-3,2-0,1-2,3-1,0-2,3-1,0-4,0-4,0-1,0-1,,1-0,1-2,0-1,0-3,0-1,1-0,1-2,2-1,2-2,2-1,0-1,1-2,1-0
18,Brooklyn Nets,0-4,0-3,4-0,1-2,2-2,1-0,0-1,1-2,2-0,0-1,1-3,1-1,0-1,0-1,0-3,0-3,0-1,,0-1,1-2,0-1,0-3,2-2,1-0,0-1,1-0,0-1,2-2,0-2,2-1
19,New Orleans Pelicans,0-1,1-0,1-1,0-2,1-0,1-2,2-2,0-1,2-1,1-2,0-2,1-2,0-3,1-3,0-1,1-0,2-1,1-0,,1-0,0-3,1-0,0-1,1-3,0-4,1-3,0-4,0-1,2-1,0-1
