Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
20,New York Knicks,2-1,2-2,3-1,1-3,2-2,1-1,0-1,3-0,0-1,0-1,2-1,1-0,1-1,0-1,0-3,2-2,1-0,2-1,0-1,,0-1,2-1,2-1,0-1,1-0,2-0,0-1,2-2,1-0,3-0
21,Oklahoma City Thunder,0-1,2-0,1-0,1-0,0-1,3-1,2-1,1-0,3-0,2-2,0-1,1-3,2-1,3-1,1-1,1-0,3-0,1-0,3-0,1-0,,2-0,1-0,3-0,3-1,3-1,1-2,1-0,2-1,0-1
22,Orlando Magic,0-3,0-3,3-1,1-2,3-0,0-1,0-2,1-2,1-0,1-0,3-1,0-1,1-0,0-1,2-2,4-0,1-0,3-0,0-1,1-2,0-2,,3-1,1-0,1-0,1-0,0-2,3-0,0-1,3-1
23,Philadelphia 76ers,3-0,2-1,3-0,1-2,3-0,0-1,0-1,3-1,2-0,0-1,2-2,0-1,1-0,0-1,0-4,2-1,0-1,2-2,1-0,1-2,0-1,1-3,,1-0,0-1,1-0,0-2,2-1,1-1,3-1
24,Phoenix Suns,1-1,1-0,1-0,0-1,1-1,1-3,0-3,1-0,1-2,2-2,1-0,3-1,2-2,2-1,0-1,2-0,2-1,0-1,3-1,1-0,0-3,0-1,0-1,,2-1,3-0,0-4,0-1,2-1,1-0
25,Portland Trail Blazers,1-1,0-1,1-0,1-0,1-0,1-2,2-1,0-1,3-1,0-3,0-1,1-3,1-2,2-1,0-1,0-2,1-2,1-0,4-0,0-1,1-3,0-1,1-0,1-2,,2-2,1-2,1-0,0-4,1-1
26,Sacramento Kings,0-1,1-0,1-0,0-2,0-1,1-2,0-3,0-2,1-3,0-3,1-0,0-3,2-1,1-2,0-1,1-0,2-2,0-1,3-1,0-2,1-3,0-1,0-1,0-3,2-2,,1-2,1-0,2-2,1-0
27,San Antonio Spurs,1-0,1-0,1-0,0-1,2-0,2-2,2-1,1-0,3-0,2-2,1-0,2-1,2-1,4-0,0-1,0-1,1-2,1-0,4-0,1-0,2-1,2-0,2-0,4-0,2-1,2-1,,1-0,3-1,1-0
28,Toronto Raptors,1-3,2-2,1-2,0-3,3-1,0-1,1-1,1-2,1-0,1-1,0-3,0-1,0-1,1-1,0-3,0-3,1-0,2-2,1-0,2-2,0-1,0-3,1-2,1-0,0-1,0-1,0-1,,1-0,2-2
29,Utah Jazz,0-1,0-1,1-0,0-1,2-0,1-3,2-1,1-0,3-1,2-1,0-1,1-2,2-2,2-1,1-0,1-0,2-1,2-0,1-2,0-1,1-2,1-0,1-1,1-2,4-0,2-2,1-3,0-1,,1-0
30,Washington Wizards,0-3,0-4,4-0,1-2,2-1,0-1,0-1,1-2,0-1,0-2,0-3,0-2,1-0,0-1,2-1,1-3,0-1,1-2,1-0,0-3,1-0,1-3,1-3,0-1,1-1,0-1,0-1,2-2,0-1,
