Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,0-4,0-3,2-2,1-3,2-1,1-1,1-1,1-2,0-2,0-2,0-4,1-1,1-1,1-1,3-1,1-3,2-0,2-0,1-3,1-1,0-4,3-1,2-0,0-2,0-2,0-2,0-3,1-1,2-2
2,Boston Celtics,4-0,,2-2,2-1,2-2,4-0,1-1,0-2,3-1,1-1,0-2,3-1,0-2,1-1,2-0,3-1,1-2,2-0,2-0,3-1,2-0,0-3,3-1,1-1,0-2,2-0,0-2,2-2,0-2,3-0
3,Brooklyn Nets,3-0,2-2,,3-1,2-2,3-1,1-1,2-0,2-1,0-2,1-1,1-2,0-2,2-0,1-1,2-2,1-3,0-2,1-1,3-1,0-2,2-1,2-2,2-0,0-2,2-0,1-1,1-3,0-2,2-2
4,Chicago Bulls,2-2,1-2,1-3,,1-2,3-1,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,2-0,1-2,0-4,0-2,0-2,1-2,1-1,2-2,1-3,2-0,0-2,0-2,1-1,0-4,0-2,3-1
5,Charlotte Hornets,3-1,2-2,2-2,2-1,,3-1,0-2,1-1,4-0,0-2,0-2,1-2,0-2,0-2,2-0,2-2,1-3,1-1,1-1,2-1,0-2,2-2,0-4,2-0,0-2,1-1,2-0,2-1,0-2,3-1
6,Cleveland Cavaliers,1-2,0-4,1-3,1-3,1-3,,0-2,0-2,1-3,0-2,1-1,1-3,0-2,1-1,1-1,0-4,1-3,0-2,0-2,3-0,0-2,1-2,1-2,1-1,0-2,0-2,0-2,1-3,0-2,2-2
7,Dallas Mavericks,1-1,1-1,1-1,2-0,2-0,2-0,,0-3,1-1,2-2,2-2,1-1,2-2,0-3,1-3,0-2,0-2,2-1,1-3,1-1,3-1,1-1,1-1,2-2,2-2,0-3,0-4,0-2,1-3,1-1
8,Denver Nuggets,1-1,2-0,0-2,2-0,1-1,2-0,3-0,,1-1,1-3,1-3,1-1,3-1,2-1,2-1,2-0,0-2,4-0,2-2,2-0,4-0,2-0,1-1,3-1,3-1,3-0,2-2,2-0,1-3,1-1
9,Detroit Pistons,2-1,1-3,1-2,4-0,0-4,3-1,1-1,1-1,,1-1,1-1,1-3,1-1,1-1,2-0,2-2,0-4,2-0,1-1,4-0,0-2,3-1,1-3,2-0,1-1,0-2,0-2,3-0,0-2,2-1
10,Golden State Warriors,2-0,1-1,2-0,2-0,2-0,2-0,2-2,3-1,1-1,,1-3,2-0,3-1,3-1,3-1,1-1,1-1,3-1,3-0,2-0,2-1,1-1,1-1,3-1,2-2,4-0,1-2,0-2,2-1,2-0
11,Houston Rockets,2-0,2-0,1-1,2-0,2-0,1-1,2-2,3-1,1-1,3-1,,2-0,1-2,3-1,3-1,1-1,0-2,1-2,2-2,2-0,1-3,1-1,1-1,3-0,1-2,4-0,3-1,2-0,2-2,1-1
12,Indiana Pacers,4-0,1-3,2-1,4-0,2-1,3-1,1-1,1-1,3-1,0-2,0-2,,1-1,1-1,1-1,3-0,1-3,1-1,2-0,4-0,1-1,1-3,1-3,2-0,0-2,1-1,1-1,1-2,2-0,3-1
13,Los Angeles Clippers,1-1,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,1-3,2-1,1-1,,2-2,3-1,1-1,1-1,2-1,1-2,2-0,2-2,2-0,0-2,4-0,1-3,4-0,2-2,0-2,1-2,1-1
14,Los Angeles Lakers,1-1,1-1,0-2,2-0,2-0,1-1,3-0,1-2,1-1,1-3,1-3,1-1,2-2,,1-2,2-0,0-2,1-3,3-1,0-2,1-2,0-2,0-2,3-1,2-2,3-1,1-3,0-2,2-2,1-1
15,Memphis Grizzlies,1-1,0-2,1-1,0-2,0-2,1-1,3-1,1-2,0-2,1-3,1-3,1-1,1-3,2-1,,0-2,1-1,2-2,2-2,1-1,1-2,1-1,1-1,2-1,2-2,1-3,2-2,0-2,3-1,1-1
16,Miami Heat,1-3,1-3,2-2,2-1,2-2,4-0,2-0,0-2,2-2,1-1,1-1,0-3,1-1,0-2,2-0,,1-3,0-2,2-0,3-0,1-1,1-3,1-2,1-1,2-0,0-2,2-0,0-4,1-1,3-1
17,Milwaukee Bucks,3-1,2-1,3-1,4-0,3-1,3-1,2-0,2-0,4-0,1-1,2-0,3-1,1-1,2-0,1-1,3-1,,2-0,2-0,3-1,0-2,2-1,2-1,0-2,1-1,2-0,1-1,3-1,1-1,2-1
18,Minnesota Timberwolves,0-2,0-2,2-0,2-0,1-1,2-0,1-2,0-4,0-2,1-3,2-1,1-1,1-2,3-1,2-2,2-0,0-2,,2-2,2-0,3-1,1-1,0-2,2-1,1-3,2-2,1-3,0-2,1-3,1-1
19,New Orleans Pelicans,0-2,0-2,1-1,2-0,1-1,2-0,3-1,2-2,1-1,0-3,2-2,0-2,2-1,1-3,2-2,0-2,0-2,2-2,,1-1,2-2,0-2,0-2,2-2,0-3,3-1,1-3,1-1,1-2,1-1
20,New York Knicks,3-1,1-3,1-3,2-1,1-2,0-3,1-1,0-2,0-4,0-2,0-2,0-4,0-2,2-0,1-1,0-3,1-3,0-2,1-1,,0-2,1-3,0-4,0-2,0-2,0-2,1-1,0-4,0-2,1-3
21,Oklahoma City Thunder,1-1,0-2,2-0,1-1,2-0,2-0,1-3,0-4,2-0,1-2,3-1,1-1,2-2,2-1,2-1,1-1,2-0,1-3,2-2,2-0,,2-0,1-1,4-0,4-0,1-3,1-2,1-1,4-0,1-1
22,Orlando Magic,4-0,3-0,1-2,2-2,2-2,2-1,1-1,0-2,1-3,1-1,1-1,3-1,0-2,2-0,1-1,3-1,1-2,1-1,2-0,3-1,0-2,,2-2,1-1,0-2,0-2,1-1,2-2,1-1,1-3
23,Philadelphia 76ers,1-3,1-3,2-2,3-1,4-0,2-1,1-1,1-1,3-1,1-1,1-1,3-1,2-0,2-0,1-1,2-1,1-2,2-0,2-0,4-0,1-1,2-2,,2-0,0-2,1-1,1-1,1-3,2-0,2-1
24,Phoenix Suns,0-2,1-1,0-2,0-2,0-2,1-1,2-2,1-3,0-2,1-3,0-3,0-2,0-4,1-3,1-2,1-1,2-0,1-2,2-2,2-0,0-4,1-1,0-2,,0-3,1-3,1-3,0-2,0-4,0-2
25,Portland Trail Blazers,2-0,2-0,2-0,2-0,2-0,2-0,2-2,1-3,1-1,2-2,2-1,2-0,3-1,2-2,2-2,0-2,1-1,3-1,3-0,2-0,0-4,2-0,2-0,3-0,,2-1,2-2,1-1,2-2,1-1
26,Sacramento Kings,2-0,0-2,0-2,2-0,1-1,2-0,3-0,0-3,2-0,0-4,0-4,1-1,0-4,1-3,3-1,2-0,0-2,2-2,1-3,2-0,3-1,2-0,1-1,3-1,1-2,,3-0,0-2,1-3,1-1
27,San Antonio Spurs,2-0,2-0,1-1,1-1,0-2,2-0,4-0,2-2,2-0,2-1,1-3,1-1,2-2,3-1,2-2,0-2,1-1,3-1,3-1,1-1,2-1,1-1,1-1,3-1,2-2,0-3,,1-1,1-2,2-0
28,Toronto Raptors,3-0,2-2,3-1,4-0,1-2,3-1,2-0,0-2,0-3,2-0,0-2,2-1,2-0,2-0,2-0,4-0,1-3,2-0,1-1,4-0,1-1,2-2,3-1,2-0,1-1,2-0,1-1,,2-0,4-0
29,Utah Jazz,1-1,2-0,2-0,2-0,2-0,2-0,3-1,3-1,2-0,1-2,2-2,0-2,2-1,2-2,1-3,1-1,1-1,3-1,2-1,2-0,0-4,1-1,0-2,4-0,2-2,3-1,2-1,0-2,,2-0
30,Washington Wizards,2-2,0-3,2-2,1-3,1-3,2-2,1-1,1-1,1-2,0-2,1-1,1-3,1-1,1-1,1-1,1-3,1-2,1-1,1-1,3-1,1-1,3-1,1-2,2-0,1-1,1-1,0-2,0-4,0-2,
