Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,0-4,3-1,3-0,1-3,1-1,1-1,3-0,1-1,1-1,3-1,1-1,1-1,1-1,3-1,3-1,2-0,1-3,2-0,1-2,2-0,1-3,1-2,0-2,1-1,2-0,0-2,3-1,1-1,4-0
2,Boston Celtics,4-0,,2-1,2-1,2-2,2-0,1-1,3-1,1-1,1-1,3-1,1-1,0-2,2-0,3-1,2-1,2-0,4-0,2-0,3-1,2-0,2-2,4-0,2-0,1-1,2-0,1-1,4-0,1-1,3-0
3,Charlotte Hornets,1-3,1-2,,2-1,0-3,0-2,0-2,1-3,1-1,0-2,2-2,2-0,2-0,2-0,1-3,1-3,1-1,1-2,1-1,2-2,1-1,0-4,3-1,1-1,1-1,2-0,0-2,2-2,1-1,3-1
4,Chicago Bulls,0-3,1-2,1-2,,1-3,1-1,1-1,3-1,2-0,1-1,2-2,2-0,0-2,1-1,1-3,3-1,0-2,3-1,2-0,2-1,1-1,1-3,2-2,2-0,0-2,2-0,0-2,1-3,2-0,3-1
5,Cleveland Cavaliers,3-1,2-2,3-0,3-1,,2-0,2-0,3-1,2-0,1-1,3-1,2-0,0-2,2-0,3-1,4-0,2-0,3-0,1-1,4-0,2-0,1-2,3-1,2-0,2-0,2-0,2-0,3-0,2-0,2-2
6,Dallas Mavericks,1-1,0-2,2-0,1-1,0-2,,0-4,2-0,2-1,2-2,2-0,3-1,0-3,2-2,2-0,1-1,4-0,1-1,1-3,2-0,2-1,1-1,2-0,3-1,3-0,3-1,2-2,2-0,2-2,2-0
7,Denver Nuggets,1-1,1-1,2-0,1-1,0-2,4-0,,0-2,2-1,1-3,1-1,4-0,1-3,3-0,2-0,1-1,4-0,1-1,2-2,2-0,4-0,1-1,2-0,1-2,2-2,3-1,2-1,2-0,2-2,2-0
8,Detroit Pistons,0-3,1-3,3-1,1-3,1-3,0-2,2-0,,2-0,0-2,2-2,2-0,1-1,1-1,1-3,3-1,1-1,2-2,0-2,2-2,1-1,3-0,1-2,0-2,0-2,2-0,1-1,3-0,0-2,3-1
9,Golden State Warriors,1-1,1-1,1-1,0-2,0-2,1-2,1-2,0-2,,0-4,1-1,3-1,0-4,0-3,0-2,1-1,2-2,2-0,2-2,1-1,2-2,0-2,1-1,1-3,2-1,2-2,0-4,1-1,2-2,1-1
10,Houston Rockets,1-1,1-1,2-0,1-1,1-1,2-2,3-1,2-0,4-0,,0-2,3-1,0-4,2-2,2-0,1-1,4-0,2-0,3-1,1-1,3-0,2-0,0-2,2-1,2-1,3-0,2-2,1-1,2-2,1-1
11,Indiana Pacers,1-3,1-3,2-2,2-2,1-3,0-2,1-1,2-2,1-1,2-0,,1-1,1-1,1-1,2-1,2-2,1-1,2-1,0-2,1-2,2-0,1-3,2-2,1-1,0-2,2-0,0-2,2-2,0-2,2-1
12,Los Angeles Clippers,1-1,1-1,0-2,0-2,0-2,1-3,0-4,0-2,1-3,1-3,1-1,,0-4,1-2,1-1,1-1,1-2,1-1,0-3,2-0,3-1,0-2,0-2,0-4,1-3,1-3,0-4,0-2,0-3,1-1
13,Los Angeles Lakers,1-1,2-0,0-2,2-0,2-0,3-0,3-1,1-1,4-0,4-0,1-1,4-0,,4-0,1-1,2-0,4-0,2-0,3-1,2-0,3-0,0-2,1-1,3-1,2-2,3-1,2-1,2-0,2-1,2-0
14,Memphis Grizzlies,1-1,0-2,0-2,1-1,0-2,2-2,0-3,1-1,3-0,2-2,1-1,2-1,0-4,,1-1,1-1,0-3,0-2,1-3,0-2,1-3,1-1,0-2,1-3,0-4,2-2,0-4,1-1,0-4,2-0
15,Miami Heat,1-3,1-3,3-1,3-1,1-3,0-2,0-2,3-1,2-0,0-2,1-2,1-1,1-1,1-1,,2-1,1-1,3-1,0-2,2-1,2-0,1-3,2-2,2-0,0-2,2-0,1-1,1-2,2-0,4-0
16,Milwaukee Bucks,1-3,1-2,3-1,1-3,0-4,1-1,1-1,1-3,1-1,1-1,2-2,1-1,0-2,1-1,1-2,,0-2,2-2,0-2,3-1,2-0,1-3,0-3,0-2,0-2,2-0,2-0,2-2,1-1,3-0
17,Minnesota Timberwolves,0-2,0-2,1-1,2-0,0-2,0-4,0-4,1-1,2-2,0-4,1-1,2-1,0-4,3-0,1-1,2-0,,1-1,1-2,1-1,2-2,0-2,1-1,1-2,0-4,1-3,0-4,0-2,1-3,0-2
18,Brooklyn Nets,3-1,0-4,2-1,1-3,0-3,1-1,1-1,2-2,0-2,0-2,1-2,1-1,0-2,2-0,1-3,2-2,1-1,,0-2,2-2,1-1,1-2,4-0,1-1,0-2,2-0,0-2,2-2,1-1,2-2
19,New Orleans Pelicans,0-2,0-2,1-1,0-2,1-1,3-1,2-2,2-0,2-2,1-3,2-0,3-0,1-3,3-1,2-0,2-0,2-1,2-0,,0-2,4-0,1-1,2-0,2-1,2-2,3-1,2-2,2-0,0-3,2-0
20,New York Knicks,2-1,1-3,2-2,1-2,0-4,0-2,0-2,2-2,1-1,1-1,2-1,0-2,0-2,2-0,1-2,1-3,1-1,2-2,2-0,,1-1,1-3,0-4,1-1,0-2,1-1,1-1,2-2,1-1,3-1
21,Oklahoma City Thunder,0-2,0-2,1-1,1-1,0-2,1-2,0-4,1-1,2-2,0-3,0-2,1-3,0-3,3-1,0-2,0-2,2-2,1-1,0-4,1-1,,0-2,1-1,0-4,1-3,2-1,2-2,1-1,1-3,1-1
22,Orlando Magic,3-1,2-2,4-0,3-1,2-1,1-1,1-1,0-3,2-0,0-2,3-1,2-0,2-0,1-1,3-1,3-1,2-0,2-1,1-1,3-1,2-0,,3-0,1-1,1-1,2-0,2-0,2-2,2-0,4-0
23,Philadelphia 76ers,2-1,0-4,1-3,2-2,1-3,0-2,0-2,2-1,1-1,2-0,2-2,2-0,1-1,2-0,2-2,3-0,1-1,0-4,0-2,4-0,1-1,0-3,,1-1,2-0,2-0,1-1,2-2,0-2,4-0
24,Phoenix Suns,2-0,0-2,1-1,0-2,0-2,1-3,2-1,2-0,3-1,1-2,1-1,4-0,1-3,3-1,0-2,2-0,2-1,1-1,1-2,1-1,4-0,1-1,1-1,,2-2,3-1,1-3,2-0,2-2,2-0
25,Portland Trail Blazers,1-1,1-1,1-1,2-0,0-2,0-3,2-2,2-0,1-2,1-2,2-0,3-1,2-2,4-0,2-0,2-0,4-0,2-0,2-2,2-0,3-1,1-1,0-2,2-2,,3-0,3-1,2-0,2-2,2-0
26,Sacramento Kings,0-2,0-2,0-2,0-2,0-2,1-3,1-3,0-2,2-2,0-3,0-2,3-1,1-3,2-2,0-2,0-2,3-1,0-2,1-3,1-1,1-2,0-2,0-2,1-3,0-3,,0-3,0-2,0-4,0-2
27,San Antonio Spurs,2-0,1-1,2-0,2-0,0-2,2-2,1-2,1-1,4-0,2-2,2-0,4-0,1-2,4-0,1-1,0-2,4-0,2-0,2-2,1-1,2-2,0-2,1-1,3-1,1-3,3-0,,1-1,3-0,2-0
28,Toronto Raptors,1-3,0-4,2-2,3-1,0-3,0-2,0-2,0-3,1-1,1-1,2-2,2-0,0-2,1-1,2-1,2-2,2-0,2-2,0-2,2-2,1-1,2-2,2-2,0-2,0-2,2-0,1-1,,0-2,2-1
29,Utah Jazz,1-1,1-1,1-1,0-2,0-2,2-2,2-2,2-0,2-2,2-2,2-0,3-0,1-2,4-0,0-2,1-1,3-1,1-1,3-0,1-1,3-1,0-2,2-0,2-2,2-2,4-0,0-3,2-0,,1-1
30,Washington Wizards,0-4,0-3,1-3,1-3,2-2,0-2,0-2,1-3,1-1,1-1,1-2,1-1,0-2,0-2,0-4,0-3,2-0,2-2,0-2,1-3,1-1,0-4,0-4,0-2,0-2,2-0,0-2,1-2,1-1,
