Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,1-3,1-3,0-3,0-4,1-3,2-0,1-1,1-3,0-2,0-2,1-3,0-2,0-2,1-1,1-3,0-3,1-1,1-1,2-1,0-2,2-2,0-3,1-1,1-1,1-1,1-1,0-4,2-0,2-2
2,Boston Celtics,3-1,,4-0,3-1,3-0,1-2,2-0,2-0,2-1,1-1,1-1,2-2,1-1,1-1,2-0,1-2,2-2,2-0,0-2,3-1,2-0,3-1,3-1,2-0,2-0,2-0,1-1,2-2,1-1,1-3
3,Brooklyn Nets,3-1,0-4,,3-0,1-2,1-3,2-0,0-2,1-3,0-2,0-2,0-4,0-2,0-2,2-0,3-1,1-2,1-1,0-2,0-4,1-1,3-1,1-3,1-1,1-1,0-2,0-2,0-4,1-1,2-1
4,Chicago Bulls,3-0,1-3,0-3,,3-1,0-4,2-0,0-2,1-3,0-2,0-2,1-3,0-2,0-2,2-0,1-3,2-2,1-1,0-2,3-1,0-2,4-0,1-2,0-2,0-2,0-2,0-2,0-4,1-1,1-2
5,Charlotte Hornets,4-0,0-3,2-1,1-3,,0-3,1-1,1-1,2-1,1-1,0-2,2-2,1-1,1-1,2-0,0-4,2-2,1-1,0-2,2-2,1-1,4-0,0-4,2-0,0-2,2-0,0-2,0-4,1-1,3-1
6,Cleveland Cavaliers,3-1,2-1,3-1,4-0,3-0,,2-0,1-1,3-1,0-2,0-2,1-3,1-1,1-1,2-0,2-1,3-1,1-1,1-1,2-2,1-1,2-2,2-2,2-0,1-1,1-1,0-2,2-1,1-1,3-1
7,Dallas Mavericks,0-2,0-2,0-2,0-2,1-1,0-2,,2-2,1-1,0-4,0-4,2-0,1-2,1-3,3-1,0-2,1-1,0-4,1-3,1-1,2-2,1-1,0-2,0-3,1-2,2-2,1-3,1-1,0-3,2-0
8,Denver Nuggets,1-1,0-2,2-0,2-0,1-1,1-1,2-2,,2-0,2-2,0-3,1-1,1-2,2-2,3-1,1-1,2-0,1-3,2-1,1-1,3-1,2-0,0-2,2-1,3-1,3-1,2-2,1-1,2-2,1-1
9,Detroit Pistons,3-1,1-2,3-1,3-1,1-2,1-3,1-1,0-2,,1-1,1-1,3-1,1-1,1-1,1-1,2-2,2-2,2-0,0-2,3-0,1-1,1-2,0-4,2-0,1-1,2-0,1-1,0-4,0-2,1-3
10,Golden State Warriors,2-0,1-1,2-0,2-0,1-1,2-0,4-0,2-2,1-1,,1-2,0-2,3-1,4-0,2-1,2-0,1-1,2-1,3-1,2-0,2-2,2-0,2-0,4-0,1-2,2-2,3-1,2-0,1-3,2-0
11,Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-0,4-0,3-0,1-1,2-1,,2-0,2-2,3-1,2-2,2-0,2-0,4-0,3-1,2-0,1-2,2-0,1-1,4-0,4-0,2-1,3-1,0-2,4-0,1-1
12,Indiana Pacers,3-1,2-2,4-0,3-1,2-2,3-1,0-2,1-1,1-3,2-0,0-2,,2-0,1-1,2-0,2-2,3-1,1-1,0-2,2-1,0-2,3-0,2-1,2-0,0-2,2-0,2-0,1-3,1-1,1-2
13,Los Angeles Clippers,2-0,1-1,2-0,2-0,1-1,1-1,2-1,2-1,1-1,1-3,2-2,0-2,,3-1,2-2,0-2,2-0,0-4,1-3,1-1,0-3,2-0,0-2,4-0,1-3,4-0,1-2,2-0,1-3,1-1
14,Los Angeles Lakers,2-0,1-1,2-0,2-0,1-1,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,,2-2,1-1,0-2,0-4,0-3,1-1,2-2,1-1,1-1,3-1,0-3,2-2,3-0,0-2,0-3,1-1
15,Memphis Grizzlies,1-1,0-2,0-2,0-2,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,,0-2,0-2,2-1,2-2,1-1,0-4,0-2,1-1,1-3,2-2,2-1,0-4,0-2,0-3,0-2
16,Miami Heat,3-1,2-1,1-3,3-1,4-0,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,2-0,,3-0,1-1,0-2,2-2,0-2,2-2,2-2,2-0,0-2,0-2,0-2,2-1,2-0,2-2
17,Milwaukee Bucks,3-0,2-2,2-1,2-2,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,2-0,0-3,,1-1,0-2,4-0,1-1,3-1,2-2,2-0,2-0,2-0,2-0,1-2,1-1,2-2
18,Minnesota Timberwolves,1-1,0-2,1-1,1-1,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-2,1-1,1-1,,4-0,2-0,3-1,1-1,0-2,2-2,2-2,3-0,1-2,1-1,2-2,1-1
19,New Orleans Pelicans,1-1,2-0,2-0,2-0,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-2,2-0,2-0,0-4,,1-1,2-1,1-1,1-1,3-0,2-2,2-2,3-1,0-2,1-3,0-2
20,New York Knicks,1-2,1-3,4-0,1-3,2-2,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,1-1,2-2,0-4,0-2,1-1,,1-1,1-3,0-4,2-0,0-2,1-1,0-2,1-3,2-0,1-2
21,Oklahoma City Thunder,2-0,0-2,1-1,2-0,1-1,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,4-0,2-0,1-1,1-3,1-2,1-1,,1-1,2-0,2-1,0-4,3-1,2-2,2-0,3-1,1-1
22,Orlando Magic,2-2,1-3,1-3,0-4,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-0,2-2,1-3,1-1,1-1,3-1,1-1,,0-3,2-0,0-2,0-2,1-1,0-3,0-2,1-3
23,Philadelphia 76ers,3-0,1-3,3-1,2-1,4-0,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,1-1,2-2,2-2,2-0,1-1,4-0,0-2,3-0,,1-1,1-1,0-2,2-0,1-3,2-0,2-2
24,Phoenix Suns,1-1,0-2,1-1,2-0,0-2,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,3-1,0-2,0-2,2-2,0-3,0-2,1-2,0-2,1-1,,0-4,3-1,0-4,0-2,1-3,1-1
