Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,1-2,2-2,1-2,3-0,0-2,0-2,3-1,2-0,0-2,3-1,2-0,0-2,2-0,1-3,2-2,2-0,2-2,0-2,2-2,0-2,3-1,2-2,0-2,2-0,2-0,0-2,3-0,1-1,3-1
2,Boston Celtics,2-1,,2-2,2-2,2-1,0-2,1-1,3-1,2-0,0-2,3-1,1-1,1-1,1-1,3-1,3-0,2-0,3-1,1-1,4-0,1-1,2-1,3-1,1-1,2-0,2-0,2-0,3-1,2-0,2-2
3,Charlotte Hornets,2-2,2-2,,2-2,2-1,0-2,1-1,2-2,1-1,1-1,0-4,0-2,1-1,1-1,0-4,1-2,2-0,3-1,0-2,1-2,0-2,0-4,1-2,2-0,1-1,2-0,0-2,4-0,0-2,2-2
4,Chicago Bulls,2-1,2-2,2-2,,4-0,2-0,1-1,4-0,1-1,2-0,3-1,1-1,1-1,2-0,3-0,4-0,2-0,3-1,2-0,1-2,1-1,3-1,1-2,2-0,1-1,2-0,1-1,3-1,2-0,4-0
5,Cleveland Cavaliers,0-3,1-2,1-2,0-4,,0-2,0-2,2-2,0-2,0-2,0-4,1-1,1-1,1-1,1-3,1-3,0-2,1-3,0-2,3-1,0-2,0-4,2-2,0-2,0-2,1-1,0-2,1-2,0-2,2-2
6,Dallas Mavericks,2-0,2-0,2-0,0-2,2-0,,1-3,1-1,3-1,4-0,1-1,4-0,1-2,1-3,2-0,0-2,3-0,2-0,2-2,2-0,2-1,1-1,2-0,4-0,2-2,3-0,1-3,1-1,4-0,2-0
7,Denver Nuggets,2-0,1-1,1-1,1-1,2-0,3-1,,2-0,2-1,2-2,1-1,2-2,2-1,2-1,1-1,2-0,4-0,1-1,1-2,1-1,1-3,1-1,0-2,3-1,2-2,3-1,1-3,2-0,2-2,2-0
8,Detroit Pistons,1-3,1-3,2-2,0-4,2-2,1-1,0-2,,1-1,0-2,2-2,1-1,0-2,0-2,0-4,3-1,0-2,2-2,1-1,1-2,0-2,1-2,2-1,1-1,0-2,2-0,0-2,3-1,1-1,2-1
9,Golden State Warriors,0-2,0-2,1-1,1-1,2-0,1-3,1-2,1-1,,1-3,1-1,2-2,1-3,1-2,0-2,1-1,3-1,1-1,2-1,1-1,1-2,1-1,1-1,0-4,3-1,2-2,0-4,2-0,3-1,2-0
10,Houston Rockets,2-0,2-0,1-1,0-2,2-0,0-4,2-2,2-0,3-1,,2-0,3-1,1-2,3-1,0-2,1-1,3-1,2-0,1-3,2-0,1-3,0-2,0-2,1-2,1-2,3-1,1-3,1-1,2-1,1-1
11,Indiana Pacers,1-3,1-3,4-0,1-3,4-0,1-1,1-1,2-2,1-1,0-2,,1-1,1-1,0-2,1-2,2-2,1-1,3-0,1-1,2-2,0-2,0-3,2-2,0-2,1-1,1-1,0-2,2-1,0-2,3-1
12,Los Angeles Clippers,0-2,1-1,2-0,1-1,1-1,0-4,2-2,1-1,2-2,1-3,1-1,,1-3,2-2,1-1,1-1,3-1,0-2,1-2,1-1,2-2,0-2,0-2,1-3,0-3,3-1,1-2,1-1,0-3,2-0
13,Los Angeles Lakers,2-0,1-1,1-1,1-1,1-1,2-1,1-2,2-0,3-1,2-1,1-1,3-1,,2-2,0-2,1-1,4-0,2-0,4-0,2-0,2-1,1-1,2-0,3-1,3-1,3-1,2-2,2-0,2-2,2-0
14,Memphis Grizzlies,0-2,1-1,1-1,0-2,1-1,3-1,1-2,2-0,2-1,1-3,2-0,2-2,2-2,,1-1,2-0,4-0,0-2,2-2,0-2,3-1,1-1,2-0,2-1,1-2,3-1,2-2,2-0,2-2,1-1
15,Miami Heat,3-1,1-3,4-0,0-3,3-1,0-2,1-1,4-0,2-0,2-0,2-1,1-1,2-0,1-1,,3-1,2-0,3-0,1-1,2-2,1-1,2-2,3-0,2-0,1-1,2-0,1-1,4-0,1-1,4-0
