Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19705,.470,14.5,,.610,.246,.164,.111,.089,.390,,.531,.669,.437,.444,.429,.374,,.529,.735,,.060,401,,.233,916,,.221,.426,,14,1
2,Boston Celtics*,82,19905,.466,14.8,,.575,.218,.203,.082,.073,.425,,.547,.739,.450,.411,.398,.356,,.512,.813,,.058,370,,.276,1147,,.231,.389,,10,0
3,Brooklyn Nets*,82,19755,.475,13.9,,.641,.245,.166,.136,.094,.359,,.538,.659,.447,.475,.478,.361,,.541,.764,,.053,338,,.251,982,,.235,.393,,7,0
4,Chicago Bulls*,82,19730,.480,13.8,,.668,.259,.151,.127,.131,.332,,.535,.677,.452,.450,.435,.369,,.476,.852,,.050,321,,.247,1019,,.273,.418,,18,1
5,Charlotte Hornets,82,19880,.468,13.9,,.582,.290,.177,.069,.047,.418,,.542,.690,.385,.402,.419,.365,,.559,.857,,.079,531,,.285,1141,,.287,.372,,20,0
6,Cleveland Cavaliers,82,19730,.469,13.7,,.613,.284,.182,.091,.056,.387,,.541,.697,.402,.426,.391,.355,,.556,.822,,.080,501,,.243,944,,.235,.332,,9,1
7,Dallas Mavericks*,82,19755,.461,15.3,,.561,.206,.176,.108,.071,.439,,.548,.736,.450,.452,.395,.350,,.502,.783,,.059,357,,.208,874,,.262,.398,,15,0
8,Denver Nuggets*,82,19805,.483,14.4,,.584,.236,.204,.073,.071,.416,,.575,.744,.480,.439,.427,.353,,.584,.857,,.059,373,,.266,1128,,.265,.384,,24,0
9,Detroit Pistons,82,19780,.431,14.0,,.609,.247,.209,.081,.073,.391,,.498,.645,.422,.354,.376,.326,,.498,.893,,.039,257,,.304,1187,,.267,.361,,20,0
10,Golden State Warriors*,82,19730,.469,15.5,,.544,.205,.201,.070,.068,.456,,.557,.711,.510,.408,.382,.364,,.595,.804,,.057,371,,.282,1193,,.215,.339,,24,1
11,Houston Rockets,82,19755,.456,14.2,,.552,.299,.181,.038,.034,.448,,.543,.689,.384,.322,.347,.349,,.502,.784,,.089,547,,.299,1142,,.173,.350,,18,0
12,Indiana Pacers,82,19880,.463,14.1,,.605,.265,.177,.093,.069,.395,,.541,.675,.458,.419,.403,.344,,.510,.860,,.045,294,,.303,1307,,.253,.377,,25,0
13,Los Angeles Clippers,82,19780,.458,14.9,,.609,.208,.183,.118,.100,.391,,.512,.691,.449,.436,.349,.374,,.503,.805,,.053,324,,.211,833,,.214,.410,,17,0
14,Los Angeles Lakers,82,19980,.469,14.0,,.612,.277,.162,.087,.085,.388,,.546,.710,.420,.409,.395,.347,,.476,.825,,.062,403,,.310,1326,,.229,.372,,5,0
15,Memphis Grizzlies*,82,19780,.461,12.9,,.654,.263,.235,.111,.045,.346,,.519,.674,.423,.410,.382,.353,,.504,.854,,.056,384,,.272,1165,,.231,.368,,14,0
16,Miami Heat*,82,19855,.467,14.9,,.578,.224,.182,.107,.065,.422,,.531,.695,.434,.438,.386,.379,,.537,.849,,.049,304,,.236,941,,.296,.418,,23,0
17,Milwaukee Bucks*,82,19755,.468,15.1,,.570,.236,.161,.103,.070,.430,,.544,.717,.420,.446,.395,.366,,.461,.789,,.049,317,,.251,1080,,.241,.393,,11,0
18,Minnesota Timberwolves*,82,19780,.457,14.5,,.546,.267,.173,.059,.047,.454,,.540,.677,.413,.432,.366,.358,,.519,.797,,.066,429,,.278,1136,,.222,.394,,19,0
19,New Orleans Pelicans*,82,19755,.457,13.6,,.635,.266,.189,.100,.081,.365,,.528,.668,.427,.458,.394,.332,,.531,.873,,.055,354,,.290,1118,,.240,.369,,18,2
20,New York Knicks,82,19780,.437,14.7,,.572,.253,.158,.086,.074,.428,,.497,.654,.374,.376,.361,.357,,.465,.795,,.069,431,,.238,858,,.219,.392,,7,0
21,Oklahoma City Thunder,82,19805,.430,14.3,,.581,.205,.261,.073,.041,.419,,.507,.643,.444,.427,.366,.323,,.466,.828,,.052,325,,.320,1199,,.207,.349,,9,0
22,Orlando Magic,82,19780,.434,14.4,,.583,.223,.227,.069,.063,.417,,.507,.670,.425,.420,.329,.331,,.499,.880,,.061,384,,.268,1028,,.212,.385,,16,0
23,Philadelphia 76ers*,82,19805,.466,14.0,,.624,.240,.194,.119,.071,.376,,.527,.702,.414,.417,.431,.364,,.505,.835,,.050,315,,.249,982,,.244,.394,,12,0
24,Phoenix Suns*,82,19730,.485,14.2,,.646,.188,.222,.149,.088,.354,,.551,.709,.503,.497,.427,.364,,.552,.832,,.053,370,,.220,951,,.260,.390,,13,0
25,Portland Trail Blazers,82,19730,.442,14.6,,.578,.260,.173,.074,.071,.422,,.513,.630,.423,.421,.402,.346,,.500,.787,,.047,293,,.274,1031,,.210,.368,,11,0
26,Sacramento Kings,82,19805,.460,13.9,,.623,.233,.219,.099,.072,.377,,.530,.698,.433,.423,.425,.344,,.498,.807,,.059,362,,.264,1079,,.219,.385,,13,1
27,San Antonio Spurs,82,19805,.467,13.4,,.655,.236,.226,.124,.069,.345,,.527,.674,.455,.441,.413,.352,,.551,.912,,.036,251,,.291,1254,,.230,.368,,14,1
28,Toronto Raptors*,82,19855,.445,14.3,,.625,.225,.209,.097,.095,.375,,.503,.653,.439,.426,.365,.349,,.434,.804,,.055,354,,.245,975,,.240,.400,,17,2
29,Utah Jazz*,82,19730,.471,15.1,,.532,.203,.235,.066,.029,.468,,.568,.729,.481,.458,.396,.360,,.454,.727,,.070,442,,.246,989,,.242,.383,,14,1
30,Washington Wizards,82,19830,.472,13.9,,.644,.226,.225,.107,.086,.356,,.543,.727,.456,.430,.426,.342,,.532,.860,,.065,408,,.280,1135,,.246,.397,,11,0
