Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19855,.451,13.6,,.597,.332,.134,.083,.047,.403,,.518,.640,.356,.374,.374,.352,,.533,.824,,.081,528,,.306,1175,,.245,.393,,21,0
2,Boston Celtics*,82,19780,.465,14.5,,.619,.248,.147,.114,.109,.381,,.527,.677,.420,.448,.410,.365,,.527,.854,,.051,337,,.247,1028,,.196,.355,,7,0
3,Brooklyn Nets*,82,19980,.449,13.7,,.597,.299,.166,.084,.048,.403,,.513,.639,.373,.423,.366,.353,,.508,.774,,.051,326,,.309,1207,,.185,.377,,14,1
4,Chicago Bulls,82,19905,.453,12.4,,.705,.310,.191,.104,.101,.295,,.496,.627,.408,.392,.368,.351,,.465,.838,,.052,340,,.295,1112,,.218,.400,,14,0
5,Charlotte Hornets,82,19830,.448,13.9,,.622,.289,.165,.083,.084,.378,,.507,.625,.387,.440,.401,.351,,.494,.777,,.041,264,,.305,1181,,.194,.415,,37,2
6,Cleveland Cavaliers,82,19755,.444,13.4,,.668,.277,.171,.114,.105,.332,,.488,.619,.390,.411,.387,.355,,.435,.802,,.040,248,,.272,1042,,.207,.360,,11,0
7,Dallas Mavericks,82,19780,.447,14.5,,.578,.268,.157,.088,.065,.422,,.524,.677,.400,.397,.371,.340,,.506,.806,,.067,428,,.233,917,,.194,.383,,27,1
8,Denver Nuggets*,82,19730,.466,13.1,,.652,.277,.203,.101,.070,.348,,.527,.674,.407,.457,.394,.351,,.571,.883,,.053,348,,.270,1103,,.183,.406,,17,1
9,Detroit Pistons*,82,19855,.440,14.0,,.606,.263,.197,.074,.073,.394,,.500,.638,.396,.365,.419,.348,,.465,.831,,.044,277,,.304,1133,,.252,.380,,29,0
10,Golden State Warriors*,82,19805,.491,15.2,,.616,.250,.107,.121,.138,.384,,.557,.703,.433,.477,.458,.385,,.610,.803,,.074,504,,.216,916,,.195,.427,,19,2
