Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks*,82,19730,.466,12.7,,.679,.291,.157,.080,.151,.321,,.506,.635,.393,.386,.441,.380,,.591,.918,,.038,225,,.249,1000,,.275,.421,,3,0
2,Boston Celtics*,82,19880,.443,12.9,,.720,.280,.144,.103,.193,.280,,.488,.622,.384,.406,.416,.327,,.565,.877,,.041,267,,.228,958,,.204,.374,,16,0
3,Brooklyn Nets*,82,19930,.451,11.9,,.760,.269,.213,.115,.163,.240,,.489,.615,.444,.408,.397,.331,,.488,.887,,.040,243,,.218,860,,.285,.389,,24,0
4,Chicago Bulls*,82,19880,.442,12.2,,.731,.312,.156,.100,.163,.269,,.474,.586,.392,.372,.401,.353,,.525,.842,,.038,237,,.261,950,,.218,.388,,18,2
5,Charlotte Hornets,82,19905,.420,12.8,,.774,.263,.153,.124,.234,.226,,.450,.572,.381,.390,.390,.318,,.521,.791,,.032,202,,.220,800,,.176,.389,,16,0
6,Cleveland Cavaliers*,82,19780,.458,12.8,,.666,.295,.155,.092,.124,.334,,.504,.647,.360,.387,.432,.367,,.509,.803,,.064,393,,.215,848,,.289,.365,,4,1
7,Dallas Mavericks*,82,19880,.463,12.8,,.704,.288,.140,.094,.182,.296,,.509,.659,.382,.420,.417,.352,,.482,.857,,.057,364,,.220,933,,.229,.393,,10,1
8,Denver Nuggets,82,19880,.433,12.3,,.716,.299,.176,.090,.152,.284,,.476,.622,.351,.396,.379,.325,,.506,.839,,.057,358,,.224,901,,.236,.344,,22,1
9,Detroit Pistons,82,19830,.432,11.8,,.710,.324,.192,.065,.128,.290,,.468,.600,.329,.382,.386,.344,,.512,.815,,.043,273,,.247,981,,.240,.396,,20,0
10,Golden State Warriors*,82,19730,.478,13.1,,.689,.288,.143,.104,.154,.311,,.514,.673,.372,.442,.397,.398,,.602,.821,,.062,396,,.206,939,,.221,.459,,24,0
11,Houston Rockets*,82,19805,.444,12.7,,.608,.310,.183,.047,.068,.392,,.506,.635,.392,.351,.328,.348,,.496,.833,,.057,361,,.252,976,,.328,.394,,17,0
12,Indiana Pacers,82,19855,.439,13.0,,.745,.245,.172,.105,.222,.255,,.469,.604,.399,.378,.418,.352,,.516,.858,,.027,155,,.203,797,,.266,.383,,17,0
13,Los Angeles Clippers*,82,19730,.473,14.1,,.678,.242,.119,.097,.219,.322,,.519,.680,.408,.437,.437,.376,,.563,.820,,.063,386,,.166,705,,.265,.396,,11,0
14,Los Angeles Lakers,82,19930,.435,12.5,,.780,.265,.150,.132,.233,.220,,.461,.651,.348,.374,.366,.344,,.527,.726,,.043,276,,.205,859,,.183,.396,,7,0
15,Memphis Grizzlies*,82,19905,.458,11.0,,.816,.308,.199,.129,.179,.184,,.485,.621,.405,.420,.386,.339,,.528,.865,,.029,173,,.263,1074,,.262,.383,,22,2
16,Miami Heat,82,19730,.456,12.4,,.738,.295,.142,.118,.184,.262,,.499,.629,.438,.424,.385,.335,,.481,.905,,.047,277,,.238,860,,.319,.374,,17,1
17,Milwaukee Bucks*,82,19930,.459,11.4,,.777,.338,.136,.110,.193,.223,,.486,.608,.352,.438,.394,.363,,.571,.888,,.052,320,,.259,977,,.316,.403,,4,0
18,Minnesota Timberwolves,82,19805,.438,11.6,,.821,.287,.176,.122,.235,.179,,.461,.623,.361,.409,.365,.332,,.557,.825,,.054,332,,.217,826,,.219,.366,,12,0
19,New Orleans Pelicans*,82,19780,.457,11.4,,.767,.348,.152,.098,.169,.233,,.484,.591,.383,.406,.398,.370,,.513,.875,,.050,313,,.286,1052,,.239,.412,,17,0
20,New York Knicks,82,19855,.428,13.3,,.760,.241,.147,.126,.247,.240,,.454,.587,.364,.393,.410,.347,,.550,.836,,.035,213,,.198,715,,.187,.351,,16,1
21,Oklahoma City Thunder,82,19830,.447,11.9,,.738,.304,.156,.113,.165,.262,,.486,.615,.385,.436,.377,.339,,.461,.797,,.051,328,,.233,933,,.247,.373,,12,0
22,Orlando Magic,82,19755,.453,11.5,,.765,.317,.182,.094,.172,.235,,.486,.611,.386,.383,.415,.347,,.480,.868,,.052,315,,.241,929,,.260,.373,,11,0
23,Philadelphia 76ers,82,19805,.408,12.2,,.681,.321,.174,.069,.118,.319,,.449,.593,.316,.326,.322,.320,,.520,.873,,.051,318,,.257,938,,.181,.342,,18,0
24,Phoenix Suns,82,19880,.452,12.6,,.709,.294,.138,.124,.153,.291,,.497,.643,.374,.429,.383,.341,,.443,.801,,.045,291,,.237,1009,,.289,.361,,19,1
25,Portland Trail Blazers*,82,19855,.450,13.7,,.684,.248,.134,.112,.190,.316,,.491,.652,.411,.402,.393,.362,,.495,.776,,.034,227,,.193,834,,.249,.391,,14,0
26,Sacramento Kings,82,19855,.455,11.0,,.796,.302,.219,.094,.181,.204,,.484,.651,.356,.416,.395,.341,,.503,.837,,.066,391,,.239,937,,.299,.367,,12,0
27,San Antonio Spurs*,82,19955,.468,12.1,,.731,.278,.202,.103,.148,.269,,.505,.634,.462,.404,.395,.367,,.544,.919,,.028,172,,.239,999,,.288,.423,,10,0
28,Toronto Raptors*,82,19855,.455,12.7,,.698,.254,.195,.104,.145,.302,,.499,.644,.446,.393,.395,.352,,.476,.781,,.042,259,,.193,781,,.264,.408,,10,0
29,Utah Jazz,82,19705,.447,12.2,,.726,.299,.170,.096,.161,.274,,.486,.669,.333,.395,.363,.343,,.473,.900,,.066,401,,.214,830,,.275,.376,,18,1
30,Washington Wizards*,82,19955,.462,12.1,,.797,.287,.142,.138,.230,.203,,.488,.658,.385,.408,.389,.360,,.578,.889,,.050,327,,.220,879,,.280,.370,,12,0
