Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19830,.432,12.6,,.716,.301,.137,.101,.176,.284,,.469,.581,.405,.370,.383,.338,,.522,.841,,.043,273,,.261,964,,.252,.377
2,Boston Celtics*,82,19780,.441,12.3,,.726,.294,.169,.102,.161,.274,,.481,.618,.378,.387,.396,.336,,.478,.855,,.035,227,,.258,1031,,.255,.359
3,Brooklyn Nets,82,19755,.479,12.3,,.699,.325,.143,.084,.147,.301,,.526,.649,.434,.396,.418,.369,,.525,.845,,.064,412,,.273,1108,,.256,.417
4,Chicago Bulls,82,19905,.441,12.2,,.743,.303,.158,.107,.175,.257,,.474,.597,.381,.404,.387,.345,,.503,.845,,.039,263,,.275,1097,,.226,.397
5,Charlotte Hornets*,82,19855,.444,13.0,,.701,.293,.130,.100,.178,.299,,.485,.607,.362,.415,.414,.349,,.538,.860,,.042,272,,.251,966,,.252,.370
6,Cleveland Cavaliers*,82,19855,.448,12.4,,.724,.274,.177,.115,.157,.276,,.487,.633,.400,.410,.385,.347,,.517,.819,,.046,283,,.236,908,,.239,.380
7,Dallas Mavericks*,82,20005,.451,13.0,,.689,.261,.164,.107,.157,.311,,.500,.649,.400,.427,.407,.342,,.481,.865,,.044,284,,.214,881,,.269,.333
8,Denver Nuggets,82,19830,.461,12.6,,.706,.306,.144,.087,.170,.294,,.498,.620,.418,.396,.398,.371,,.521,.870,,.051,311,,.258,995,,.272,.365
9,Detroit Pistons*,82,19880,.461,11.9,,.757,.288,.178,.127,.164,.243,,.495,.639,.396,.438,.395,.355,,.489,.837,,.038,237,,.253,1037,,.200,.400
10,Golden State Warriors*,82,19880,.435,12.4,,.737,.277,.177,.119,.164,.263,,.472,.639,.345,.386,.389,.332,,.520,.773,,.047,313,,.232,978,,.183,.358
11,Houston Rockets*,82,19830,.459,12.6,,.684,.298,.156,.091,.140,.316,,.504,.655,.386,.387,.389,.361,,.561,.835,,.060,389,,.252,1003,,.306,.389
12,Indiana Pacers*,82,19880,.440,12.7,,.708,.291,.145,.103,.168,.292,,.484,.610,.398,.410,.387,.334,,.475,.845,,.042,269,,.263,1010,,.259,.364
13,Los Angeles Clippers*,82,19830,.434,12.6,,.725,.278,.164,.108,.175,.275,,.471,.618,.387,.398,.360,.338,,.512,.814,,.050,318,,.240,910,,.221,.321
14,Los Angeles Lakers,82,19730,.473,12.2,,.713,.314,.145,.103,.151,.287,,.524,.671,.413,.394,.413,.347,,.549,.830,,.062,401,,.254,1086,,.236,.352
15,Memphis Grizzlies*,82,19830,.456,13.3,,.662,.290,.137,.088,.147,.338,,.503,.618,.431,.368,.424,.365,,.530,.819,,.046,267,,.247,895,,.251,.391
16,Miami Heat*,82,19830,.442,12.1,,.748,.286,.168,.120,.174,.252,,.474,.596,.406,.407,.383,.347,,.472,.828,,.043,264,,.247,916,,.261,.379
17,Milwaukee Bucks,82,19830,.454,12.4,,.682,.334,.135,.085,.127,.318,,.502,.609,.395,.434,.378,.352,,.568,.899,,.053,323,,.285,1074,,.286,.390
18,Minnesota Timberwolves,82,19880,.471,12.4,,.700,.315,.147,.088,.151,.300,,.520,.660,.394,.418,.409,.355,,.500,.795,,.059,386,,.262,1073,,.264,.352
19,New Orleans Pelicans,82,19780,.468,12.9,,.703,.288,.145,.109,.163,.297,,.510,.652,.432,.399,.400,.369,,.516,.830,,.044,281,,.252,1049,,.203,.396
20,New York Knicks,82,19805,.443,12.0,,.739,.313,.156,.109,.160,.261,,.479,.588,.389,.423,.391,.341,,.482,.807,,.047,297,,.274,1015,,.236,.385
21,Oklahoma City Thunder*,82,19830,.438,11.7,,.729,.320,.164,.102,.143,.271,,.474,.605,.358,.391,.371,.342,,.496,.802,,.054,333,,.271,1072,,.243,.382
22,Orlando Magic,82,19905,.460,12.4,,.702,.317,.141,.102,.142,.298,,.503,.625,.378,.419,.412,.359,,.520,.874,,.053,326,,.266,1037,,.265,.363
23,Philadelphia 76ers,82,19805,.464,11.9,,.746,.302,.170,.112,.162,.254,,.500,.636,.386,.422,.420,.359,,.526,.853,,.051,330,,.249,1007,,.217,.427
24,Phoenix Suns,82,19705,.467,12.5,,.703,.294,.158,.089,.161,.297,,.505,.646,.395,.423,.400,.377,,.490,.831,,.053,341,,.245,976,,.252,.412
25,Portland Trail Blazers*,82,19805,.453,12.6,,.728,.275,.165,.103,.185,.272,,.484,.587,.434,.384,.429,.371,,.484,.836,,.037,227,,.238,891,,.233,.360
26,Sacramento Kings,82,19805,.462,13.3,,.681,.243,.185,.090,.162,.319,,.508,.678,.409,.418,.416,.366,,.521,.814,,.056,354,,.214,942,,.276,.367
27,San Antonio Spurs*,82,19705,.436,12.1,,.756,.281,.173,.119,.183,.244,,.470,.590,.405,.395,.396,.331,,.528,.823,,.048,296,,.240,844,,.253,.331
28,Toronto Raptors*,82,19780,.444,12.6,,.714,.272,.183,.097,.162,.286,,.473,.604,.393,.369,.406,.373,,.507,.874,,.046,269,,.243,894,,.258,.417
29,Utah Jazz,82,19955,.446,12.3,,.722,.288,.169,.102,.164,.278,,.480,.611,.377,.426,.388,.357,,.450,.840,,.055,321,,.233,836,,.268,.398
30,Washington Wizards,82,19755,.462,13.0,,.711,.275,.151,.108,.176,.289,,.498,.642,.404,.419,.404,.371,,.513,.807,,.040,259,,.237,962,,.234,.373
