Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19705,.471,14.2,,.604,.260,.162,.102,.080,.396,,.541,.691,.427,.454,.397,.364,,.508,.831,,.060,384,,.255,1075,,.232,.382
2,Boston Celtics*,82,19905,.434,14.9,,.604,.190,.224,.100,.091,.396,,.497,.702,.410,.412,.379,.339,,.465,.789,,.048,317,,.254,942,,.214,.357
3,Brooklyn Nets*,82,19755,.452,14.2,,.598,.256,.175,.092,.075,.402,,.523,.680,.401,.421,.399,.345,,.499,.779,,.058,385,,.267,1064,,.244,.370
4,Chicago Bulls*,82,19730,.474,13.4,,.635,.297,.169,.091,.078,.365,,.536,.675,.420,.413,.398,.366,,.514,.829,,.057,373,,.287,1166,,.236,.427
5,Charlotte Hornets,82,19880,.466,14.4,,.571,.266,.170,.076,.059,.429,,.544,.685,.427,.408,.423,.362,,.528,.833,,.069,437,,.266,1084,,.278,.376
6,Cleveland Cavaliers,82,19730,.452,13.7,,.620,.294,.162,.093,.071,.380,,.514,.626,.415,.414,.402,.353,,.521,.826,,.061,382,,.267,1025,,.271,.379
7,Dallas Mavericks*,82,19755,.457,13.9,,.624,.238,.206,.107,.073,.376,,.527,.701,.442,.425,.354,.340,,.515,.827,,.057,348,,.255,1033,,.250,.377
8,Denver Nuggets*,82,19805,.470,14.2,,.609,.222,.219,.099,.069,.391,,.549,.730,.470,.444,.372,.346,,.533,.830,,.059,383,,.262,1109,,.235,.370
9,Detroit Pistons,82,19780,.473,13.7,,.622,.259,.216,.077,.070,.378,,.540,.674,.469,.439,.377,.362,,.534,.824,,.066,406,,.284,1126,,.253,.421
10,Golden State Warriors*,82,19730,.438,14.8,,.585,.176,.257,.089,.063,.415,,.509,.688,.457,.428,.335,.339,,.487,.846,,.046,296,,.268,1037,,.243,.397
11,Houston Rockets,82,19755,.483,14.0,,.598,.275,.177,.083,.062,.402,,.570,.713,.457,.457,.414,.353,,.503,.800,,.075,495,,.267,1157,,.241,.377
12,Indiana Pacers,82,19880,.483,13.6,,.633,.262,.203,.100,.069,.367,,.547,.692,.455,.441,.423,.372,,.506,.804,,.066,413,,.281,1165,,.229,.400
13,Los Angeles Clippers,82,19780,.450,13.7,,.626,.250,.215,.101,.060,.374,,.513,.660,.422,.417,.383,.345,,.505,.805,,.056,365,,.274,1087,,.217,.355
14,Los Angeles Lakers,82,19980,.470,14.0,,.605,.259,.194,.087,.065,.395,,.548,.714,.435,.420,.397,.352,,.523,.840,,.063,416,,.272,1165,,.207,.381
15,Memphis Grizzlies*,82,19780,.455,13.9,,.611,.272,.177,.097,.066,.389,,.522,.653,.413,.432,.407,.349,,.536,.815,,.064,404,,.272,1070,,.177,.391
16,Miami Heat*,82,19855,.447,15.4,,.544,.218,.172,.094,.061,.456,,.537,.702,.444,.416,.400,.339,,.507,.833,,.046,284,,.236,941,,.269,.372
17,Milwaukee Bucks*,82,19755,.456,15.6,,.552,.215,.163,.103,.072,.448,,.537,.697,.438,.444,.417,.356,,.517,.829,,.048,316,,.234,984,,.210,.359
18,Minnesota Timberwolves*,82,19780,.460,14.3,,.573,.260,.166,.086,.060,.427,,.543,.707,.407,.395,.422,.350,,.558,.846,,.068,438,,.269,1070,,.287,.377
19,New Orleans Pelicans*,82,19755,.471,14.8,,.584,.233,.172,.101,.078,.416,,.546,.706,.456,.447,.395,.365,,.521,.821,,.048,305,,.250,1032,,.227,.403
20,New York Knicks,82,19780,.447,14.8,,.570,.259,.149,.088,.074,.430,,.527,.664,.422,.447,.353,.342,,.526,.838,,.054,347,,.259,1006,,.234,.346
21,Oklahoma City Thunder,82,19805,.458,14.8,,.573,.195,.231,.079,.068,.427,,.536,.682,.483,.470,.375,.353,,.522,.852,,.058,359,,.271,1108,,.264,.399
22,Orlando Magic,82,19780,.458,14.8,,.592,.211,.201,.100,.081,.408,,.524,.663,.457,.444,.425,.363,,.507,.819,,.055,369,,.253,990,,.222,.392
23,Philadelphia 76ers*,82,19805,.458,14.0,,.621,.252,.187,.109,.073,.379,,.527,.695,.405,.410,.434,.346,,.514,.794,,.062,395,,.258,1020,,.217,.369
24,Phoenix Suns*,82,19730,.444,14.6,,.613,.196,.232,.099,.086,.387,,.510,.677,.454,.435,.365,.340,,.496,.789,,.044,284,,.263,1054,,.196,.355
25,Portland Trail Blazers,82,19730,.479,14.4,,.568,.271,.164,.076,.056,.432,,.561,.694,.455,.414,.428,.371,,.550,.841,,.063,400,,.259,1075,,.284,.398
26,Sacramento Kings,82,19805,.479,13.9,,.614,.251,.203,.089,.071,.386,,.547,.712,.435,.424,.438,.372,,.489,.805,,.061,404,,.281,1190,,.226,.396
27,San Antonio Spurs,82,19805,.466,13.6,,.631,.264,.207,.092,.068,.369,,.528,.649,.435,.442,.452,.360,,.468,.811,,.057,359,,.304,1200,,.198,.410
28,Toronto Raptors*,82,19855,.462,14.4,,.587,.241,.196,.088,.061,.413,,.538,.702,.416,.439,.422,.354,,.546,.873,,.062,376,,.264,1015,,.310,.385
29,Utah Jazz*,82,19730,.453,14.6,,.612,.194,.219,.119,.081,.388,,.518,.705,.433,.438,.416,.350,,.494,.777,,.049,313,,.243,997,,.211,.370
30,Washington Wizards,82,19830,.464,14.2,,.642,.202,.242,.112,.086,.358,,.522,.700,.455,.436,.405,.361,,.487,.798,,.058,358,,.267,1073,,.206,.401
