Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,66,16165,.444,12.6,,.788,.299,.142,.102,.245,.212,,.470,.627,.385,.353,.377,.344,,.519,.821,,.043,200,,.250,796,,.251,.358
2,Boston Celtics*,66,15940,.419,12.0,,.788,.309,.162,.133,.184,.212,,.449,.599,.354,.352,.353,.308,,.507,.840,,.051,253,,.245,674,,.273,.308
3,Charlotte Bobcats,66,15890,.475,11.4,,.789,.362,.155,.090,.181,.211,,.506,.637,.394,.393,.400,.356,,.546,.879,,.069,329,,.277,855,,.276,.413
4,Chicago Bulls*,66,15940,.421,12.4,,.827,.285,.164,.115,.263,.173,,.442,.569,.382,.385,.366,.325,,.503,.820,,.042,213,,.239,665,,.195,.311
5,Cleveland Cavaliers,66,15965,.467,12.3,,.772,.303,.160,.119,.189,.228,,.498,.652,.400,.396,.398,.362,,.543,.879,,.050,249,,.234,771,,.275,.382
6,Dallas Mavericks*,66,16065,.435,13.0,,.746,.270,.164,.113,.199,.254,,.466,.654,.336,.367,.375,.346,,.513,.825,,.055,274,,.201,640,,.229,.355
7,Denver Nuggets*,66,16040,.456,13.3,,.733,.282,.140,.096,.214,.267,,.483,.629,.351,.373,.426,.383,,.531,.842,,.048,230,,.226,743,,.293,.410
8,Detroit Pistons,66,15965,.462,12.4,,.784,.310,.146,.103,.224,.216,,.492,.636,.401,.387,.400,.355,,.580,.848,,.056,256,,.235,707,,.232,.409
9,Golden State Warriors,66,15915,.453,12.5,,.764,.285,.188,.111,.181,.236,,.480,.627,.390,.376,.406,.365,,.564,.859,,.050,237,,.218,693,,.228,.384
10,Houston Rockets,66,16065,.456,12.2,,.791,.285,.191,.112,.203,.209,,.491,.669,.378,.395,.399,.325,,.474,.875,,.054,274,,.236,779,,.279,.338
11,Indiana Pacers*,66,15990,.435,12.9,,.763,.277,.162,.115,.209,.237,,.461,.605,.387,.403,.358,.351,,.495,.837,,.046,221,,.225,668,,.265,.392
12,Los Angeles Clippers*,66,15965,.447,13.2,,.753,.260,.183,.099,.210,.247,,.474,.650,.409,.389,.353,.365,,.542,.830,,.054,251,,.201,627,,.247,.429
13,Los Angeles Lakers*,66,16065,.437,13.0,,.777,.260,.167,.116,.234,.223,,.463,.633,.358,.390,.384,.348,,.520,.858,,.046,236,,.204,702,,.240,.363
14,Memphis Grizzlies*,66,15940,.444,12.5,,.764,.305,.161,.103,.196,.236,,.474,.624,.374,.408,.359,.345,,.493,.856,,.053,242,,.235,698,,.275,.402
15,Miami Heat*,66,16040,.434,12.9,,.750,.289,.146,.120,.195,.250,,.457,.582,.372,.385,.381,.363,,.492,.854,,.050,228,,.222,610,,.237,.404
16,Milwaukee Bucks,66,15865,.449,12.1,,.771,.310,.153,.123,.186,.229,,.478,.604,.391,.393,.396,.351,,.526,.856,,.050,250,,.236,719,,.295,.383
17,Minnesota Timberwolves,66,15940,.455,12.6,,.789,.288,.164,.110,.227,.211,,.486,.643,.397,.397,.393,.340,,.501,.830,,.051,251,,.222,751,,.244,.323
18,New Jersey Nets,66,15890,.472,12.4,,.783,.313,.148,.105,.216,.217,,.500,.643,.441,.384,.389,.374,,.570,.835,,.062,296,,.248,782,,.291,.403
19,New Orleans Hornets,66,15940,.444,12.8,,.741,.287,.171,.101,.183,.259,,.489,.658,.397,.377,.369,.317,,.533,.887,,.058,263,,.225,708,,.291,.321
20,New York Knicks*,66,15940,.442,12.7,,.764,.289,.166,.101,.207,.236,,.468,.635,.341,.380,.380,.359,,.483,.775,,.047,233,,.235,708,,.250,.413
21,Oklahoma City Thunder*,66,15990,.427,12.0,,.781,.297,.187,.115,.182,.219,,.451,.614,.328,.352,.375,.342,,.488,.817,,.050,237,,.235,750,,.295,.366
22,Orlando Magic*,66,15965,.449,13.1,,.775,.250,.169,.128,.228,.225,,.478,.639,.396,.401,.406,.347,,.514,.831,,.039,185,,.200,636,,.246,.386
23,Philadelphia 76ers*,66,15915,.427,12.7,,.798,.243,.190,.134,.231,.202,,.450,.620,.361,.382,.384,.334,,.520,.846,,.035,165,,.197,606,,.227,.374
24,Phoenix Suns,66,15840,.455,12.5,,.795,.250,.209,.113,.223,.205,,.481,.672,.389,.428,.380,.352,,.514,.837,,.047,246,,.195,668,,.275,.424
25,Portland Trail Blazers,66,15965,.463,12.5,,.772,.298,.160,.099,.215,.228,,.492,.649,.378,.396,.405,.363,,.499,.853,,.061,294,,.230,734,,.272,.390
26,Sacramento Kings,66,15915,.476,12.3,,.780,.281,.199,.104,.197,.220,,.510,.700,.409,.399,.398,.355,,.534,.866,,.053,279,,.230,854,,.278,.382
27,San Antonio Spurs*,66,15940,.452,12.6,,.790,.259,.178,.135,.219,.210,,.478,.631,.394,.393,.418,.353,,.459,.794,,.040,206,,.215,681,,.252,.357
28,Toronto Raptors,66,15965,.435,12.6,,.761,.295,.163,.099,.204,.239,,.469,.607,.366,.391,.391,.328,,.538,.848,,.056,249,,.221,633,,.256,.345
29,Utah Jazz*,66,16165,.453,12.5,,.763,.269,.209,.092,.193,.237,,.488,.663,.366,.425,.403,.340,,.507,.825,,.048,231,,.221,725,,.259,.371
30,Washington Wizards,66,15865,.453,12.5,,.773,.290,.169,.105,.209,.227,,.483,.662,.313,.402,.411,.350,,.527,.864,,.048,246,,.233,745,,.287,.364
