Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,72,17405,.463,13.8,,.617,.278,.165,.099,.075,.383,,.534,.657,.431,.444,.423,.349,,.505,.801,,.055,321,,.282,1003,,.226,.386
2,Boston Celtics*,72,17380,.464,14.5,,.601,.215,.213,.099,.073,.399,,.524,.683,.432,.448,.431,.374,,.497,.825,,.050,280,,.268,903,,.209,.401
3,Brooklyn Nets*,72,17405,.459,14.3,,.603,.246,.184,.100,.073,.397,,.521,.662,.426,.414,.432,.365,,.480,.775,,.050,305,,.256,915,,.225,.354
4,Chicago Bulls,72,17380,.473,13.6,,.631,.279,.176,.095,.080,.369,,.541,.665,.431,.440,.469,.356,,.488,.828,,.052,297,,.281,995,,.197,.418
5,Charlotte Hornets,72,17355,.468,14.5,,.551,.287,.148,.066,.050,.449,,.552,.681,.429,.415,.356,.366,,.539,.874,,.055,319,,.290,1033,,.277,.395
6,Cleveland Cavaliers,72,17430,.484,13.3,,.626,.309,.170,.085,.063,.374,,.545,.644,.458,.460,.405,.383,,.509,.832,,.063,335,,.285,995,,.250,.413
7,Dallas Mavericks*,72,17305,.460,14.4,,.595,.244,.177,.099,.075,.405,,.525,.681,.417,.429,.397,.365,,.459,.791,,.046,262,,.247,872,,.196,.361
8,Denver Nuggets*,72,17480,.469,14.6,,.582,.221,.200,.094,.067,.418,,.545,.748,.429,.424,.387,.363,,.551,.846,,.063,348,,.257,913,,.257,.413
9,Detroit Pistons,72,17430,.476,13.3,,.639,.269,.214,.089,.068,.361,,.541,.667,.467,.442,.400,.362,,.516,.818,,.059,315,,.296,1038,,.235,.354
10,Golden State Warriors,72,17305,.452,14.4,,.613,.212,.227,.103,.071,.387,,.511,.667,.445,.410,.401,.359,,.492,.813,,.048,277,,.279,952,,.208,.421
11,Houston Rockets,72,17305,.480,14.1,,.605,.269,.171,.097,.068,.395,,.544,.679,.444,.460,.383,.382,,.503,.823,,.055,313,,.279,1023,,.238,.414
12,Indiana Pacers,72,17455,.468,12.9,,.656,.318,.176,.092,.070,.344,,.521,.632,.427,.425,.381,.366,,.520,.855,,.066,377,,.304,1063,,.245,.366
13,Los Angeles Clippers*,72,17280,.464,14.1,,.624,.238,.202,.111,.073,.376,,.529,.701,.398,.448,.449,.356,,.491,.771,,.050,286,,.253,889,,.196,.380
14,Los Angeles Lakers*,72,17455,.460,13.7,,.627,.274,.182,.101,.070,.373,,.524,.672,.415,.428,.368,.352,,.539,.825,,.057,313,,.275,969,,.203,.356
15,Memphis Grizzlies*,72,17405,.462,14.1,,.605,.264,.172,.103,.066,.395,,.525,.648,.438,.443,.387,.367,,.525,.823,,.047,261,,.269,938,,.196,.435
16,Miami Heat*,72,17380,.459,15.3,,.541,.230,.169,.082,.061,.459,,.538,.689,.421,.425,.444,.365,,.533,.880,,.048,266,,.245,831,,.264,.388
17,Milwaukee Bucks*,72,17330,.456,15.3,,.585,.213,.167,.119,.085,.415,,.507,.658,.411,.448,.404,.384,,.473,.810,,.042,246,,.232,805,,.198,.448
18,Minnesota Timberwolves,72,17405,.482,13.5,,.625,.282,.174,.096,.073,.375,,.536,.682,.386,.464,.426,.392,,.528,.841,,.060,356,,.292,1015,,.227,.419
19,New Orleans Pelicans,72,17430,.469,14.6,,.573,.260,.159,.088,.066,.427,,.535,.689,.417,.424,.365,.380,,.505,.833,,.049,286,,.260,966,,.212,.388
20,New York Knicks*,72,17430,.440,14.1,,.587,.280,.163,.077,.067,.413,,.512,.643,.394,.397,.385,.337,,.518,.844,,.062,321,,.276,900,,.235,.350
21,Oklahoma City Thunder,72,17355,.473,14.3,,.593,.261,.165,.095,.072,.407,,.548,.705,.408,.452,.424,.364,,.485,.834,,.058,338,,.269,1012,,.227,.402
22,Orlando Magic,72,17330,.471,14.5,,.590,.232,.188,.098,.072,.410,,.539,.684,.448,.431,.455,.373,,.508,.842,,.055,306,,.275,1010,,.206,.408
23,Philadelphia 76ers*,72,17430,.453,14.0,,.620,.267,.174,.094,.085,.380,,.510,.672,.410,.372,.356,.360,,.501,.821,,.054,293,,.276,950,,.197,.375
24,Phoenix Suns*,72,17480,.467,14.1,,.622,.250,.185,.103,.085,.378,,.535,.697,.434,.413,.424,.354,,.472,.803,,.046,270,,.274,984,,.200,.414
25,Portland Trail Blazers*,72,17305,.473,14.1,,.608,.271,.165,.090,.081,.392,,.538,.684,.400,.452,.430,.372,,.497,.820,,.050,283,,.271,1002,,.245,.426
26,Sacramento Kings,72,17305,.488,13.4,,.635,.270,.198,.095,.072,.365,,.549,.710,.430,.476,.370,.380,,.491,.807,,.061,349,,.287,1074,,.201,.385
27,San Antonio Spurs,72,17480,.472,13.3,,.637,.280,.198,.093,.065,.363,,.527,.640,.438,.457,.412,.377,,.488,.818,,.056,320,,.302,1020,,.222,.400
28,Toronto Raptors,72,17305,.461,14.7,,.567,.216,.212,.082,.058,.433,,.523,.692,.427,.402,.413,.379,,.544,.888,,.051,263,,.259,879,,.274,.412
29,Utah Jazz*,72,17355,.447,13.7,,.652,.229,.219,.126,.078,.348,,.504,.678,.399,.439,.394,.341,,.457,.787,,.045,262,,.255,914,,.164,.356
30,Washington Wizards*,72,17405,.471,14.5,,.632,.164,.264,.111,.093,.368,,.529,.687,.493,.452,.448,.369,,.464,.823,,.054,318,,.264,929,,.218,.375
