Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19730,37.5,87.7,.428,7.3,21.7,.337,30.2,65.9,.458,19.0,24.9,.763,11.9,33.3,45.2,21.3,8.4,3.6,16.5,19.1,101.4
2,San Antonio Spurs*,82,19955,39.0,88.0,.444,7.2,19.9,.360,31.9,68.1,.468,16.8,22.5,.745,10.4,33.9,44.3,21.8,8.3,4.6,15.0,20.7,102.0
3,Milwaukee Bucks*,82,19930,37.3,85.5,.437,8.7,25.3,.342,28.7,60.2,.476,18.9,25.5,.742,12.0,33.0,45.0,23.4,9.1,5.0,18.2,21.1,102.2
4,Memphis Grizzlies*,82,19905,38.7,87.6,.442,8.7,24.8,.351,30.0,62.9,.478,16.1,21.6,.742,11.3,34.3,45.6,21.7,7.9,5.6,16.5,21.8,102.2
5,Washington Wizards*,82,19955,38.1,87.9,.433,8.4,24.2,.349,29.6,63.7,.465,18.4,24.9,.738,10.5,33.4,43.9,21.0,8.4,4.5,14.7,20.7,103.0
6,Atlanta Hawks*,82,19730,38.7,88.3,.439,9.3,27.3,.341,29.4,60.9,.483,16.3,21.4,.764,12.3,34.1,46.3,25.0,7.8,5.2,17.1,20.9,103.1
7,Indiana Pacers,82,19855,38.3,88.0,.435,7.7,22.2,.345,30.6,65.8,.465,19.1,25.3,.753,10.4,35.1,45.5,21.2,8.0,5.0,13.6,22.8,103.2
8,Houston Rockets*,82,19805,38.8,87.6,.443,7.6,23.6,.322,31.2,64.0,.487,18.2,24.2,.751,12.2,32.9,45.1,22.0,9.1,5.5,16.8,21.7,103.4
9,Charlotte Hornets,82,19905,39.2,89.0,.440,8.4,23.6,.357,30.8,65.5,.470,16.8,21.7,.772,9.4,37.5,46.9,23.5,6.5,5.7,13.4,22.2,103.5
10,Portland Trail Blazers*,82,19855,40.2,91.4,.439,6.7,19.9,.338,33.4,71.5,.468,16.7,22.0,.758,11.6,35.3,46.9,21.4,8.4,3.8,12.8,19.7,103.7
