Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19880,42.4,87.0,.487,13.1,31.5,.416,29.3,55.5,.528,16.6,21.8,.763,9.9,36.1,46.0,28.8,8.4,6.1,15.1,20.7,114.5
2,Oklahoma City Thunder*,82,19830,42.2,88.6,.476,8.5,24.3,.349,33.7,64.3,.524,20.2,25.9,.782,13.4,36.5,49.9,23.6,7.5,6.1,16.3,21.2,113.1
3,Cleveland Cavaliers*,82,19855,41.1,89.3,.460,11.4,31.5,.362,29.7,57.8,.514,17.3,23.1,.748,11.3,36.0,47.3,24.1,7.1,4.1,14.4,21.6,110.9
4,San Antonio Spurs*,82,19705,42.7,88.3,.484,7.4,19.7,.375,35.3,68.6,.515,17.4,21.7,.803,10.0,36.8,46.8,26.1,8.8,6.3,13.9,18.6,110.3
5,Toronto Raptors*,82,19780,39.3,87.1,.451,9.2,25.0,.370,30.0,62.1,.483,22.2,28.6,.777,10.9,35.6,46.5,20.1,8.3,5.9,14.0,21.0,110.0
6,Portland Trail Blazers*,82,19805,40.0,88.9,.450,10.9,29.5,.370,29.1,59.4,.490,18.0,23.8,.754,12.0,35.1,47.1,22.1,7.1,4.8,15.1,22.5,108.8
7,Houston Rockets*,82,19830,38.4,84.9,.452,10.9,31.4,.347,27.5,53.5,.514,20.7,29.8,.694,11.5,32.2,43.8,22.6,10.2,5.3,16.2,22.2,108.3
8,Los Angeles Clippers*,82,19830,39.7,85.4,.465,10.1,27.7,.364,29.6,57.7,.513,18.8,27.2,.692,9.1,34.5,43.6,23.7,9.0,5.8,13.4,22.1,108.3
9,Charlotte Hornets*,82,19855,38.4,87.5,.439,11.0,30.5,.362,27.3,57.0,.479,19.4,24.5,.790,9.3,36.3,45.5,22.5,7.5,5.5,13.0,18.8,107.1
10,Boston Celtics*,82,19780,39.6,90.2,.439,8.8,26.4,.335,30.8,63.8,.483,18.7,23.8,.788,11.7,33.7,45.4,24.4,9.3,4.3,13.9,22.1,106.8
11,Dallas Mavericks*,82,20005,39.0,87.8,.444,10.3,29.8,.344,28.7,58.0,.495,18.5,23.3,.794,9.6,35.4,44.9,23.1,7.1,3.9,13.3,20.3,106.7
12,Minnesota Timberwolves,82,19880,39.2,84.5,.464,5.8,17.1,.338,33.5,67.5,.496,22.2,28.1,.792,10.4,32.8,43.2,24.3,8.3,4.8,15.6,21.5,106.5
13,Miami Heat*,82,19830,40.7,86.6,.470,6.4,19.1,.336,34.3,67.5,.508,18.2,24.4,.744,10.4,36.4,46.8,22.1,7.2,6.9,14.9,19.4,106.1
14,Detroit Pistons*,82,19880,39.5,90.0,.439,9.4,27.3,.345,30.1,62.7,.480,17.8,26.6,.668,13.0,35.3,48.2,20.2,7.3,3.9,14.1,19.8,106.1
15,Sacramento Kings,82,19805,39.8,85.9,.464,8.0,22.3,.359,31.8,63.6,.500,18.4,25.3,.725,10.5,33.5,44.0,24.4,8.9,4.5,16.1,20.3,106.0
16,Utah Jazz,82,19955,39.1,87.1,.449,9.2,25.9,.355,29.9,61.3,.488,18.5,24.9,.744,11.6,35.2,46.9,20.6,8.3,5.6,16.2,21.9,105.9
17,Denver Nuggets,82,19830,39.1,88.5,.442,8.3,24.6,.338,30.8,64.0,.482,19.1,25.0,.766,11.9,34.4,46.3,23.5,7.7,5.0,15.2,21.8,105.6
18,New Orleans Pelicans,82,19780,39.5,88.3,.448,8.8,24.5,.360,30.7,63.8,.482,17.7,22.9,.776,9.8,34.0,43.8,22.8,7.9,4.3,13.8,21.5,105.6
19,Memphis Grizzlies*,82,19830,39.2,89.0,.440,6.5,19.7,.331,32.6,69.3,.471,20.6,26.3,.783,11.9,32.4,44.3,22.0,9.4,4.5,14.1,23.1,105.4
20,Washington Wizards,82,19755,40.0,86.8,.460,8.7,24.5,.358,31.2,62.3,.501,16.6,22.8,.730,9.2,33.2,42.3,24.7,8.7,4.0,14.6,21.1,105.3
21,Orlando Magic,82,19905,40.7,89.4,.455,8.0,22.8,.350,32.7,66.6,.492,15.7,20.7,.757,10.6,34.0,44.6,24.3,8.5,5.2,14.5,21.4,105.1
