Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19705,.469,13.7,,.646,.271,.127,.116,.132,.354,,.520,.648,.430,.438,.416,.377,,.548,.872,,.051,318,,.259,1024,,.216,.381
2,Boston Celtics*,82,19805,.440,13.1,,.674,.286,.162,.103,.124,.326,,.488,.651,.365,.361,.379,.339,,.485,.818,,.046,294,,.286,1094,,.181,.417
3,Brooklyn Nets,82,19855,.466,12.6,,.726,.260,.185,.135,.146,.274,,.503,.632,.430,.432,.430,.369,,.450,.780,,.043,275,,.277,1080,,.186,.401
4,Chicago Bulls,82,19855,.472,13.7,,.624,.292,.122,.090,.119,.376,,.534,.681,.394,.425,.401,.370,,.535,.864,,.051,330,,.264,1110,,.213,.393
5,Charlotte Hornets,82,19780,.468,13.7,,.657,.262,.144,.116,.134,.343,,.516,.683,.395,.436,.393,.375,,.507,.853,,.049,314,,.258,1064,,.194,.418
6,Cleveland Cavaliers*,82,19730,.474,13.4,,.641,.299,.132,.104,.107,.359,,.533,.672,.399,.429,.409,.368,,.537,.832,,.055,362,,.276,1148,,.213,.446
7,Dallas Mavericks,82,19805,.469,13.8,,.649,.238,.167,.113,.130,.351,,.526,.698,.412,.457,.421,.363,,.515,.826,,.051,314,,.216,854,,.190,.384
8,Denver Nuggets,82,19880,.476,12.8,,.668,.268,.191,.101,.108,.332,,.525,.682,.412,.450,.407,.378,,.515,.835,,.049,310,,.291,1188,,.247,.390
9,Detroit Pistons,82,19805,.459,13.6,,.638,.251,.177,.105,.105,.362,,.515,.703,.373,.405,.417,.359,,.541,.904,,.046,288,,.271,1059,,.233,.387
10,Golden State Warriors*,82,19730,.447,13.0,,.676,.278,.166,.112,.120,.324,,.490,.652,.380,.390,.359,.357,,.512,.802,,.052,347,,.274,1089,,.189,.378
11,Houston Rockets*,82,19755,.462,12.8,,.663,.304,.157,.097,.104,.337,,.519,.670,.412,.396,.358,.351,,.485,.802,,.050,315,,.294,1193,,.214,.380
12,Indiana Pacers*,82,19755,.465,13.6,,.641,.285,.138,.098,.121,.359,,.530,.669,.434,.421,.398,.349,,.490,.861,,.055,340,,.270,1073,,.198,.397
13,Los Angeles Clippers,82,19705,.458,13.4,,.656,.279,.139,.109,.128,.344,,.512,.658,.391,.424,.403,.356,,.540,.806,,.058,372,,.252,1027,,.233,.387
14,Los Angeles Lakers,82,19905,.456,12.9,,.665,.304,.156,.092,.113,.335,,.512,.648,.393,.399,.403,.346,,.495,.806,,.059,384,,.280,1142,,.196,.364
15,Memphis Grizzlies,82,19705,.462,13.3,,.639,.296,.131,.102,.111,.361,,.516,.659,.390,.400,.390,.368,,.501,.833,,.059,353,,.268,993,,.223,.425
16,Miami Heat*,82,19930,.450,12.7,,.683,.279,.188,.102,.113,.317,,.491,.621,.392,.399,.422,.360,,.467,.820,,.050,307,,.273,995,,.199,.363
17,Milwaukee Bucks*,82,19830,.468,12.5,,.676,.327,.145,.100,.103,.324,,.513,.675,.329,.402,.367,.372,,.519,.848,,.058,349,,.316,1189,,.222,.417
18,Minnesota Timberwolves*,82,19805,.475,13.1,,.650,.297,.141,.095,.116,.350,,.534,.690,.393,.404,.416,.366,,.504,.840,,.060,392,,.273,1112,,.228,.374
19,New Orleans Pelicans*,82,19955,.454,13.3,,.667,.278,.155,.109,.125,.333,,.503,.650,.410,.399,.385,.355,,.476,.833,,.056,376,,.277,1129,,.201,.379
20,New York Knicks,82,19830,.457,13.3,,.648,.291,.142,.093,.121,.352,,.505,.630,.387,.411,.418,.368,,.513,.848,,.059,359,,.271,1016,,.243,.405
21,Oklahoma City Thunder*,82,19830,.458,13.1,,.636,.302,.144,.096,.094,.364,,.511,.647,.372,.425,.375,.367,,.508,.842,,.059,349,,.270,1020,,.239,.402
22,Orlando Magic,82,19730,.468,12.7,,.685,.280,.179,.100,.126,.315,,.516,.678,.392,.440,.391,.362,,.519,.834,,.057,365,,.296,1189,,.229,.427
23,Philadelphia 76ers*,82,19780,.434,13.6,,.662,.239,.176,.119,.128,.338,,.482,.661,.357,.408,.387,.342,,.486,.807,,.049,315,,.255,936,,.187,.385
24,Phoenix Suns,82,19705,.471,13.0,,.670,.306,.133,.107,.125,.330,,.519,.640,.417,.440,.400,.373,,.466,.817,,.054,352,,.277,1126,,.190,.401
25,Portland Trail Blazers*,82,19755,.447,12.9,,.691,.281,.152,.121,.136,.309,,.484,.582,.415,.408,.425,.364,,.427,.819,,.037,219,,.267,976,,.186,.405
26,Sacramento Kings,82,19755,.470,13.8,,.617,.260,.166,.082,.110,.383,,.527,.685,.424,.413,.397,.377,,.514,.828,,.052,319,,.271,1037,,.205,.406
27,San Antonio Spurs*,82,19730,.453,12.8,,.688,.281,.161,.121,.125,.312,,.501,.634,.396,.425,.409,.348,,.490,.827,,.055,337,,.267,968,,.213,.358
28,Toronto Raptors*,82,19830,.449,12.2,,.708,.298,.177,.121,.112,.292,,.486,.617,.359,.432,.401,.357,,.493,.813,,.050,300,,.287,1039,,.196,.363
29,Utah Jazz*,82,19755,.449,13.1,,.687,.254,.179,.123,.131,.313,,.488,.655,.384,.376,.409,.365,,.444,.801,,.052,316,,.260,943,,.183,.404
30,Washington Wizards*,82,19855,.462,13.3,,.654,.279,.154,.100,.120,.346,,.522,.695,.392,.387,.400,.349,,.490,.808,,.055,355,,.286,1118,,.192,.364
