Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19830,.462,13.0,,.738,.289,.148,.099,.202,.262,,.497,.629,.419,.402,.411,.365,,.533,.859,,.044,279,,.235,927,,.258,.418
2,Boston Celtics,82,19730,.465,12.1,,.767,.317,.164,.106,.180,.233,,.500,.638,.398,.434,.390,.347,,.534,.826,,.051,315,,.254,983,,.230,.356
3,Brooklyn Nets*,82,19880,.458,13.0,,.723,.293,.165,.087,.177,.277,,.492,.626,.410,.401,.393,.367,,.513,.808,,.049,293,,.238,913,,.241,.387
4,Charlotte Bobcats*,82,19905,.442,13.1,,.737,.281,.160,.104,.192,.263,,.468,.598,.356,.429,.392,.369,,.492,.839,,.034,211,,.236,903,,.218,.374
5,Chicago Bulls*,82,19930,.430,13.1,,.770,.271,.155,.119,.226,.230,,.454,.600,.362,.409,.366,.351,,.497,.829,,.038,240,,.228,821,,.206,.378
6,Cleveland Cavaliers,82,19930,.452,13.7,,.696,.266,.147,.107,.176,.304,,.490,.650,.395,.384,.391,.367,,.590,.863,,.045,283,,.206,855,,.257,.404
7,Dallas Mavericks*,82,19830,.464,12.9,,.717,.293,.167,.095,.163,.283,,.505,.669,.386,.400,.395,.359,,.512,.841,,.056,350,,.224,900,,.279,.365
8,Denver Nuggets,82,19755,.457,12.4,,.757,.295,.175,.114,.172,.243,,.491,.633,.385,.420,.403,.351,,.509,.833,,.052,341,,.230,937,,.263,.407
9,Detroit Pistons,82,19780,.470,12.6,,.726,.313,.159,.084,.169,.274,,.510,.652,.370,.391,.438,.365,,.560,.859,,.053,335,,.249,1015,,.260,.395
10,Golden State Warriors*,82,19830,.436,13.1,,.761,.248,.188,.127,.198,.239,,.465,.641,.358,.399,.391,.344,,.490,.847,,.038,239,,.200,818,,.206,.396
11,Houston Rockets*,82,19830,.443,12.9,,.738,.265,.190,.103,.180,.262,,.475,.649,.371,.398,.373,.353,,.511,.793,,.046,313,,.225,944,,.259,.348
12,Indiana Pacers*,82,19780,.420,13.0,,.770,.257,.169,.130,.213,.230,,.443,.558,.356,.391,.403,.345,,.471,.812,,.042,258,,.211,725,,.204,.370
13,Los Angeles Clippers*,82,19755,.441,12.6,,.743,.278,.191,.115,.159,.257,,.479,.648,.397,.358,.368,.332,,.571,.830,,.054,345,,.216,913,,.243,.384
14,Los Angeles Lakers,82,19705,.468,12.5,,.749,.304,.170,.103,.172,.251,,.504,.646,.428,.397,.392,.361,,.554,.862,,.059,400,,.244,1084,,.271,.351
15,Memphis Grizzlies*,82,19805,.450,13.2,,.734,.274,.164,.108,.187,.266,,.484,.625,.386,.405,.409,.355,,.489,.813,,.043,260,,.217,823,,.239,.370
16,Miami Heat*,82,19880,.457,13.0,,.704,.297,.161,.094,.152,.296,,.497,.630,.427,.412,.366,.362,,.510,.853,,.055,335,,.230,831,,.283,.404
17,Milwaukee Bucks,82,19880,.468,12.6,,.728,.316,.148,.103,.162,.272,,.500,.623,.395,.423,.406,.382,,.521,.855,,.052,308,,.237,928,,.274,.409
18,Minnesota Timberwolves,82,19855,.471,12.8,,.742,.294,.160,.103,.184,.258,,.508,.674,.401,.398,.399,.364,,.506,.799,,.052,338,,.224,996,,.264,.385
19,New Orleans Pelicans,82,19855,.465,12.6,,.722,.310,.161,.103,.147,.278,,.507,.663,.376,.420,.384,.357,,.530,.876,,.055,335,,.248,986,,.270,.426
20,New York Knicks,82,19855,.458,13.0,,.700,.305,.150,.086,.159,.300,,.496,.640,.355,.395,.406,.371,,.469,.806,,.047,276,,.244,921,,.250,.393
21,Oklahoma City Thunder*,82,19805,.436,12.9,,.712,.295,.161,.096,.159,.288,,.468,.591,.359,.412,.383,.358,,.526,.833,,.051,305,,.229,834,,.242,.375
22,Orlando Magic,82,19955,.456,13.4,,.741,.271,.143,.106,.221,.259,,.485,.639,.390,.396,.402,.371,,.516,.874,,.043,261,,.214,881,,.234,.404
23,Philadelphia 76ers,82,19855,.471,13.1,,.714,.302,.140,.099,.172,.286,,.511,.669,.375,.404,.407,.370,,.581,.899,,.054,356,,.235,989,,.274,.400
24,Phoenix Suns,82,19755,.456,12.2,,.761,.300,.189,.099,.173,.239,,.492,.639,.392,.420,.387,.341,,.478,.790,,.046,290,,.236,968,,.238,.362
25,Portland Trail Blazers*,82,19855,.451,12.0,,.791,.299,.187,.109,.195,.209,,.476,.596,.385,.416,.414,.355,,.464,.781,,.043,288,,.244,952,,.199,.395
26,Sacramento Kings,82,19830,.461,13.3,,.728,.236,.210,.099,.183,.272,,.491,.696,.416,.352,.388,.380,,.558,.838,,.051,313,,.200,873,,.255,.403
27,San Antonio Spurs*,82,19755,.444,12.4,,.785,.270,.190,.127,.197,.215,,.469,.611,.392,.394,.396,.353,,.480,.826,,.044,271,,.218,844,,.233,.375
28,Toronto Raptors*,82,19955,.450,12.2,,.760,.280,.210,.100,.170,.240,,.478,.629,.406,.377,.380,.360,,.522,.833,,.049,286,,.239,896,,.260,.409
29,Utah Jazz,82,19780,.473,12.2,,.760,.299,.187,.094,.181,.240,,.503,.659,.402,.420,.392,.376,,.506,.840,,.056,338,,.230,926,,.236,.431
30,Washington Wizards*,82,20055,.458,13.1,,.734,.273,.171,.112,.179,.266,,.498,.648,.432,.384,.405,.347,,.540,.840,,.043,273,,.223,873,,.243,.402
