Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
4,Chicago Bulls,82,19805,.453,12.8,,.769,.315,.087,.119,.248,.231,,.476,.560,.439,.432,.404,.375,,.529,.907,,.046,275,,.249,833,,.276,.398
5,Cleveland Cavaliers*,82,19855,.455,12.5,,.780,.314,.120,.120,.227,.220,,.482,.596,.383,.399,.421,.357,,.527,.866,,.049,292,,.250,873,,.254,.396
6,Dallas Mavericks*,82,19730,.443,12.0,,.822,.300,.149,.130,.243,.178,,.463,.598,.401,.364,.389,.349,,.484,.831,,.043,253,,.243,874,,.262,.359
7,Denver Nuggets*,82,19855,.457,12.7,,.766,.312,.111,.099,.244,.234,,.485,.604,.387,.401,.411,.363,,.576,.874,,.056,379,,.236,933,,.297,.384
8,Detroit Pistons*,82,19730,.437,12.5,,.802,.327,.093,.115,.268,.198,,.463,.568,.396,.384,.392,.332,,.531,.814,,.047,262,,.260,844,,.232,.392
9,Golden State Warriors,82,19780,.468,12.2,,.778,.302,.161,.108,.206,.222,,.496,.645,.398,.382,.415,.368,,.531,.885,,.048,318,,.234,990,,.286,.409
10,Houston Rockets*,82,19730,.433,12.4,,.820,.288,.134,.131,.266,.180,,.447,.548,.384,.413,.387,.365,,.491,.831,,.043,252,,.226,743,,.221,.427
11,Indiana Pacers,82,19755,.454,13.1,,.770,.257,.149,.122,.241,.230,,.474,.594,.420,.369,.432,.386,,.515,.891,,.046,286,,.216,816,,.316,.427
12,Los Angeles Clippers,82,19805,.467,11.9,,.791,.337,.126,.109,.220,.209,,.498,.615,.394,.426,.414,.349,,.535,.881,,.053,324,,.259,977,,.256,.384
13,Los Angeles Lakers*,82,19780,.445,12.2,,.782,.322,.122,.111,.227,.218,,.469,.573,.388,.377,.408,.362,,.513,.854,,.049,314,,.252,911,,.254,.386
14,Memphis Grizzlies,82,19805,.480,12.6,,.770,.320,.111,.098,.242,.230,,.514,.645,.425,.430,.416,.364,,.522,.848,,.054,351,,.247,1044,,.226,.383
15,Miami Heat,82,19830,.468,12.8,,.769,.289,.124,.117,.239,.231,,.497,.639,.417,.406,.412,.369,,.539,.875,,.064,385,,.212,771,,.273,.389
16,Milwaukee Bucks,82,19855,.480,12.2,,.767,.341,.103,.114,.209,.233,,.509,.608,.448,.395,.438,.384,,.551,.854,,.061,360,,.261,951,,.273,.439
