Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder*,82,19830,40.5,84.3,.481,7.8,20.6,.377,32.8,63.7,.514,23.6,28.5,.828,11.1,35.3,46.4,22.7,8.8,8.1,16.2,21.4,112.4
2,Miami Heat*,82,19880,41.9,84.5,.496,9.5,24.1,.396,32.4,60.4,.536,18.9,25.1,.754,9.0,33.2,42.2,25.2,9.5,5.9,15.2,20.4,112.3
3,New York Knicks*,82,19730,40.6,90.6,.448,12.1,32.1,.376,28.5,58.5,.487,17.8,23.4,.759,12.1,33.0,45.1,21.4,9.1,4.0,13.4,22.4,111.1
4,Los Angeles Clippers*,82,19730,42.2,88.2,.478,8.4,23.4,.358,33.8,64.8,.522,17.9,25.2,.711,12.5,33.0,45.6,26.1,10.5,6.2,16.0,22.9,110.6
5,Denver Nuggets*,82,19905,42.3,88.6,.478,6.6,19.3,.343,35.7,69.3,.516,19.1,27.2,.701,13.8,33.0,46.8,25.4,9.7,6.8,15.9,21.3,110.4
6,Houston Rockets*,82,19780,39.4,85.6,.461,10.9,29.9,.366,28.5,55.7,.511,19.9,26.3,.754,11.5,33.5,45.0,24.0,8.6,4.5,17.0,21.0,109.7
7,San Antonio Spurs*,82,19880,41.1,85.6,.481,8.5,22.6,.376,32.6,62.9,.519,17.5,22.1,.791,8.5,34.9,43.4,26.4,8.9,5.7,15.5,18.3,108.3
8,Brooklyn Nets*,82,19855,40.1,89.1,.450,8.6,24.0,.357,31.5,65.1,.484,19.5,26.7,.731,14.3,33.5,47.8,22.7,8.2,5.3,16.4,20.4,108.2
9,Los Angeles Lakers*,82,19755,39.1,85.4,.458,9.2,25.9,.355,29.9,59.5,.503,20.4,29.4,.692,12.1,35.1,47.3,23.4,7.4,5.5,15.8,18.9,107.8
10,Utah Jazz,82,19880,40.4,89.1,.454,6.7,18.4,.366,33.7,70.7,.477,19.1,25.0,.764,13.1,32.6,45.8,24.7,9.2,6.8,16.1,23.2,106.7
11,Golden State Warriors*,82,19805,40.2,87.7,.458,8.4,20.9,.403,31.7,66.8,.475,17.7,22.4,.790,11.4,35.9,47.3,23.7,7.3,4.4,15.9,22.5,106.4
12,Sacramento Kings,82,19830,39.9,89.2,.447,7.9,21.7,.363,32.0,67.5,.474,18.6,24.2,.769,12.2,30.8,43.0,22.1,8.7,4.4,15.5,22.2,106.2
13,Dallas Mavericks,82,19980,40.6,88.0,.462,7.7,20.8,.372,32.9,67.2,.489,16.9,21.3,.793,9.8,34.1,43.9,24.3,8.3,5.8,14.6,21.7,105.9
14,Toronto Raptors,82,19980,39.6,88.8,.446,7.6,22.1,.343,32.0,66.7,.480,19.2,24.3,.788,11.6,32.2,43.8,23.5,7.9,5.2,14.9,24.4,105.9
15,Portland Trail Blazers,82,19855,39.8,88.8,.448,8.9,25.2,.353,30.9,63.6,.486,17.2,22.2,.776,11.6,32.7,44.3,23.6,7.1,4.7,15.9,20.1,105.8
16,New Orleans Hornets,82,19780,40.5,90.3,.448,7.3,20.2,.363,33.2,70.1,.473,17.4,22.4,.776,13.5,33.2,46.8,23.6,7.1,6.0,16.4,22.9,105.7
17,Memphis Grizzlies*,82,19805,40.6,91.5,.444,5.2,15.2,.345,35.4,76.4,.463,18.5,23.9,.773,14.5,33.5,48.0,23.5,9.6,6.0,15.7,22.7,104.9
18,Atlanta Hawks*,82,19855,40.2,86.7,.464,9.2,24.8,.371,31.0,61.9,.501,15.1,21.1,.715,9.9,33.8,43.7,26.2,8.7,4.8,15.9,19.2,104.8
19,Indiana Pacers*,81,19590,38.7,88.6,.436,7.5,21.7,.347,31.1,66.9,.465,19.4,26.0,.746,14.2,36.3,50.5,22.3,7.9,7.0,16.7,22.1,104.3
20,Cleveland Cavaliers,82,19730,39.5,91.0,.434,7.2,20.8,.346,32.2,70.1,.460,18.2,24.1,.756,13.2,31.1,44.3,22.3,8.5,4.4,15.1,22.9,104.3
