Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Brooklyn Nets*,72,17405,43.0,87.1,.494,14.1,36.0,.392,28.9,51.1,.565,18.1,22.5,.804,8.9,35.5,44.3,26.7,6.7,5.3,13.5,19.0,118.3
2,Portland Trail Blazers*,72,17305,41.9,92.4,.453,16.0,41.4,.385,25.9,51.0,.509,18.1,22.0,.823,10.8,34.4,45.2,21.6,7.0,5.1,11.3,19.2,117.8
3,Utah Jazz*,72,17355,41.7,89.0,.468,16.9,43.5,.389,24.8,45.6,.544,17.3,21.7,.799,10.7,38.0,48.8,23.9,6.7,5.2,14.4,18.7,117.6
4,Los Angeles Clippers*,72,17280,43.1,89.4,.482,14.7,35.8,.411,28.4,53.6,.529,16.7,19.9,.839,9.7,35.8,45.5,25.2,7.3,4.2,13.6,19.8,117.6
5,Milwaukee Bucks*,72,17330,43.6,89.6,.487,14.1,36.2,.389,29.6,53.4,.554,15.8,20.9,.760,10.0,36.9,46.9,24.9,7.9,4.5,13.5,16.9,117.2
6,Phoenix Suns*,72,17480,44.0,89.8,.490,13.3,35.2,.378,30.8,54.6,.563,15.9,19.0,.834,8.9,34.8,43.7,27.4,7.3,4.4,12.7,19.4,117.2
7,Denver Nuggets*,72,17480,44.0,90.8,.485,13.1,34.8,.377,30.9,56.0,.552,16.0,19.9,.803,10.7,34.5,45.2,27.3,8.2,4.6,13.7,19.4,117.1
8,Atlanta Hawks*,72,17405,41.5,88.8,.468,12.6,33.9,.373,28.9,54.8,.526,20.0,24.7,.812,10.7,35.7,46.4,24.5,7.1,4.8,13.5,19.7,115.7
9,Dallas Mavericks*,72,17305,42.2,89.6,.470,14.2,39.1,.362,28.0,50.5,.554,16.9,21.7,.778,9.4,35.1,44.5,23.5,6.4,4.4,12.4,19.9,115.4
10,Boston Celtics*,72,17380,42.0,90.0,.466,13.8,36.8,.374,28.2,53.2,.530,16.3,21.0,.775,10.8,34.0,44.8,23.7,7.8,5.4,14.2,20.7,114.0
11,Sacramento Kings,72,17305,42.5,88.5,.481,12.1,33.3,.364,30.4,55.2,.551,16.4,22.0,.745,9.3,32.0,41.3,25.5,7.5,5.0,13.4,19.4,113.6
12,New Orleans Pelicans,72,17430,42.1,88.2,.477,10.5,30.1,.348,31.6,58.1,.544,18.8,25.8,.729,11.6,35.3,47.0,25.8,7.5,4.3,14.5,17.8,113.5
13,Philadelphia 76ers*,72,17430,41.2,86.6,.476,11.2,30.0,.374,30.0,56.6,.531,19.5,25.4,.767,10.0,34.9,44.9,23.6,9.1,6.2,14.4,20.1,113.2
14,Indiana Pacers,72,17455,42.2,88.9,.474,12.0,33.1,.364,30.1,55.8,.540,16.0,20.2,.792,8.8,32.8,41.6,26.7,8.3,6.2,13.2,19.7,112.4
15,Toronto Raptors,72,17305,40.0,89.3,.448,14.6,39.6,.368,25.4,49.7,.512,17.5,21.5,.815,9.5,32.4,41.9,24.3,8.6,5.4,13.3,21.3,112.0
16,Memphis Grizzlies*,72,17405,42.4,90.8,.467,11.0,31.0,.356,31.3,59.8,.525,16.3,21.1,.771,11.0,34.9,46.0,26.6,9.0,5.0,13.1,18.5,112.0
17,Washington Wizards*,72,17405,41.2,86.7,.475,9.7,27.7,.351,31.5,59.1,.533,19.2,25.0,.769,9.2,33.9,43.1,24.3,7.0,3.9,13.7,20.6,111.2
