Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
1,Atlanta Hawks,,0.6667,0.3333,1.0,0.3333,0.3333,0.0,0.5,0.6667,1.0,1.0,0.3333,0.5,0.5,0.5,0.6667,0.3333,1.0,1.0,0.0,0.5,1.0,0.3333,0.5,0.5,0.5,0.5,1.0,0.0,1.0
2,Boston Celtics,0.3333,,0.0,0.3333,0.6667,0.3333,0.0,1.0,0.3333,1.0,1.0,0.6667,1.0,0.5,0.5,0.3333,0.6667,1.0,0.0,0.3333,0.5,1.0,0.0,0.5,0.5,0.0,0.5,1.0,0.0,0.6667
3,Brooklyn Nets,0.6667,1.0,,0.6667,0.6667,0.3333,0.0,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,0.0,0.6667,0.3333,1.0,1.0,1.0,0.5,0.6667,0.3333,1.0,0.5,1.0,1.0,0.3333,0.5,0.3333
4,Chicago Bulls,0.0,0.6667,0.3333,,1.0,0.3333,1.0,0.0,1.0,0.0,1.0,0.6667,0.0,0.0,0.0,0.3333,0.3333,0.5,1.0,0.3333,0.5,0.3333,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.6667
5,Charlotte Hornets,0.6667,0.3333,0.3333,0.0,,0.3333,0.5,0.0,1.0,0.5,1.0,0.6667,0.0,0.0,0.0,0.6667,0.6667,1.0,0.5,0.3333,0.5,0.6667,0.0,0.5,0.5,1.0,0.5,0.3333,0.0,0.6667
6,Cleveland Cavaliers,0.6667,0.6667,0.6667,0.6667,0.6667,,0.0,0.0,0.6667,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.3333,0.5,0.0,0.6667,0.0,0.0,0.0,0.5,0.3333,0.0,0.0
7,Dallas Mavericks,1.0,1.0,1.0,0.0,0.5,1.0,,0.6667,1.0,0.6667,0.3333,0.5,0.6667,0.6667,0.6667,1.0,0.5,0.6667,0.6667,0.5,0.6667,1.0,0.0,0.0,0.3333,0.0,0.6667,0.5,0.3333,1.0
8,Denver Nuggets,0.5,0.0,0.0,1.0,1.0,1.0,0.3333,,1.0,0.3333,1.0,1.0,0.6667,0.3333,1.0,1.0,0.5,1.0,0.6667,1.0,1.0,1.0,1.0,0.6667,0.6667,0.0,0.6667,0.5,0.3333,0.0
9,Detroit Pistons,0.3333,0.6667,0.3333,0.0,0.0,0.3333,0.0,0.0,,0.0,0.5,0.0,0.0,0.5,0.5,0.3333,0.0,0.0,0.5,0.0,1.0,0.3333,0.3333,0.5,0.0,0.5,0.0,1.0,0.0,0.3333
10,Golden State Warriors,0.0,0.0,0.0,1.0,0.5,1.0,0.3333,0.6667,1.0,,1.0,0.5,0.3333,0.3333,0.6667,0.5,0.5,0.6667,0.6667,0.5,1.0,0.5,0.5,0.3333,0.3333,0.6667,0.6667,0.5,0.6667,0.0
11,Houston Rockets,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.0,0.5,0.0,,0.0,0.3333,0.0,0.3333,0.0,0.5,0.3333,0.3333,0.0,0.3333,1.0,0.0,0.0,0.3333,0.6667,0.3333,0.5,0.0,0.5
