"year","round","game","home_team","away_team","home_score","away_score"
2020,"third",2,"Los Angeles Lakers","Denver Nuggets",105,103
2020,"third",3,"Denver Nuggets","Los Angeles Lakers",114,106
2020,"third",4,"Denver Nuggets","Los Angeles Lakers",108,114
2020,"third",5,"Los Angeles Lakers","Denver Nuggets",117,107
2020,"second",1,"Toronto Raptors","Boston Celtics",94,112
2020,"second",2,"Toronto Raptors","Boston Celtics",99,102
2020,"second",3,"Boston Celtics","Toronto Raptors",103,104
2020,"second",4,"Boston Celtics","Toronto Raptors",93,100
2020,"second",5,"Toronto Raptors","Boston Celtics",89,111
2020,"second",6,"Boston Celtics","Toronto Raptors",122,125
2020,"second",7,"Toronto Raptors","Boston Celtics",87,92
2020,"second",1,"Milwaukee Bucks","Miami Heat",104,115
2020,"second",2,"Milwaukee Bucks","Miami Heat",114,116
2020,"second",3,"Miami Heat","Milwaukee Bucks",115,100
2020,"second",4,"Miami Heat","Milwaukee Bucks",115,118
2020,"second",5,"Milwaukee Bucks","Miami Heat",94,103
2020,"second",1,"Los Angeles Clippers","Denver Nuggets",120,97
2020,"second",2,"Los Angeles Clippers","Denver Nuggets",101,110
2020,"second",3,"Denver Nuggets","Los Angeles Clippers",107,113
2020,"second",4,"Denver Nuggets","Los Angeles Clippers",85,96
2020,"second",5,"Los Angeles Clippers","Denver Nuggets",105,111
2020,"second",6,"Denver Nuggets","Los Angeles Clippers",111,98
2020,"second",7,"Los Angeles Clippers","Denver Nuggets",89,104
2020,"second",1,"Los Angeles Lakers","Houston Rockets",97,112
2020,"second",2,"Los Angeles Lakers","Houston Rockets",117,109
2020,"second",3,"Houston Rockets","Los Angeles Lakers",102,112
2020,"second",4,"Houston Rockets","Los Angeles Lakers",100,110
2020,"second",5,"Los Angeles Lakers","Houston Rockets",119,96
2020,"first",1,"Boston Celtics","Philadelphia 76ers",109,101
2020,"first",2,"Boston Celtics","Philadelphia 76ers",128,101
2020,"first",3,"Philadelphia 76ers","Boston Celtics",94,102
2020,"first",4,"Philadelphia 76ers","Boston Celtics",106,110
2020,"first",1,"Indiana Pacers","Miami Heat",101,113
2020,"first",2,"Indiana Pacers","Miami Heat",100,109
2020,"first",3,"Miami Heat","Indiana Pacers",124,115
2020,"first",4,"Miami Heat","Indiana Pacers",99,87
2020,"first",1,"Milwaukee Bucks","Orlando Magic",110,122
2020,"first",2,"Milwaukee Bucks","Orlando Magic",111,96
2020,"first",3,"Orlando Magic","Milwaukee Bucks",107,121
2020,"first",4,"Orlando Magic","Milwaukee Bucks",106,121
2020,"first",5,"Milwaukee Bucks","Orlando Magic",118,104
2020,"first",1,"Toronto Raptors","Brooklyn Nets",134,110
