"year","round","game","home_team","away_team","home_score","away_score"
2016,"third",6,"Oklahoma City Thunder","Golden State Warriors",101,108
2016,"third",7,"Golden State Warriors","Oklahoma City Thunder",96,88
2016,"second",1,"Cleveland Cavaliers","Atlanta Hawks",104,93
2016,"second",2,"Cleveland Cavaliers","Atlanta Hawks",123,98
2016,"second",3,"Atlanta Hawks","Cleveland Cavaliers",108,121
2016,"second",4,"Atlanta Hawks","Cleveland Cavaliers",99,100
2016,"second",1,"Toronto Raptors","Miami Heat",96,102
2016,"second",2,"Toronto Raptors","Miami Heat",96,92
2016,"second",3,"Miami Heat","Toronto Raptors",91,95
2016,"second",4,"Miami Heat","Toronto Raptors",94,87
2016,"second",5,"Toronto Raptors","Miami Heat",99,91
2016,"second",6,"Miami Heat","Toronto Raptors",103,91
2016,"second",7,"Toronto Raptors","Miami Heat",116,89
2016,"second",1,"Golden State Warriors","Portland Trail Blazers",118,106
2016,"second",2,"Golden State Warriors","Portland Trail Blazers",110,99
2016,"second",3,"Portland Trail Blazers","Golden State Warriors",120,108
2016,"second",4,"Portland Trail Blazers","Golden State Warriors",125,132
2016,"second",5,"Golden State Warriors","Portland Trail Blazers",125,121
2016,"second",1,"San Antonio Spurs","Oklahoma City Thunder",124,92
2016,"second",2,"San Antonio Spurs","Oklahoma City Thunder",97,98
2016,"second",3,"Oklahoma City Thunder","San Antonio Spurs",96,100
2016,"second",4,"Oklahoma City Thunder","San Antonio Spurs",111,97
2016,"second",5,"San Antonio Spurs","Oklahoma City Thunder",91,95
2016,"second",6,"Oklahoma City Thunder","San Antonio Spurs",113,99
2016,"first",1,"Atlanta Hawks","Boston Celtics",102,101
2016,"first",2,"Atlanta Hawks","Boston Celtics",89,72
2016,"first",3,"Boston Celtics","Atlanta Hawks",111,103
2016,"first",4,"Boston Celtics","Atlanta Hawks",104,95
2016,"first",5,"Atlanta Hawks","Boston Celtics",110,83
2016,"first",6,"Boston Celtics","Atlanta Hawks",92,104
2016,"first",1,"Cleveland Cavaliers","Detroit Pistons",106,101
2016,"first",2,"Cleveland Cavaliers","Detroit Pistons",107,90
2016,"first",3,"Detroit Pistons","Cleveland Cavaliers",91,101
2016,"first",4,"Detroit Pistons","Cleveland Cavaliers",98,100
2016,"first",1,"Miami Heat","Charlotte Hornets",123,91
2016,"first",2,"Miami Heat","Charlotte Hornets",115,103
2016,"first",3,"Charlotte Hornets","Miami Heat",96,80
2016,"first",4,"Charlotte Hornets","Miami Heat",89,85
2016,"first",5,"Miami Heat","Charlotte Hornets",88,90
2016,"first",6,"Charlotte Hornets","Miami Heat",90,97
2016,"first",7,"Miami Heat","Charlotte Hornets",106,73
2016,"first",1,"Toronto Raptors","Indiana Pacers",90,100
2016,"first",2,"Toronto Raptors","Indiana Pacers",98,87
2016,"first",3,"Indiana Pacers","Toronto Raptors",85,101
2016,"first",4,"Indiana Pacers","Toronto Raptors",100,83
2016,"first",5,"Toronto Raptors","Indiana Pacers",102,99
2016,"first",6,"Indiana Pacers","Toronto Raptors",101,83
2016,"first",7,"Toronto Raptors","Indiana Pacers",89,84
2016,"first",1,"Golden State Warriors","Houston Rockets",104,78
2016,"first",2,"Golden State Warriors","Houston Rockets",115,106
2016,"first",3,"Houston Rockets","Golden State Warriors",97,96
2016,"first",4,"Houston Rockets","Golden State Warriors",94,121
2016,"first",5,"Golden State Warriors","Houston Rockets",114,81
2016,"first",1,"Oklahoma City Thunder","Dallas Mavericks",108,70
2016,"first",2,"Oklahoma City Thunder","Dallas Mavericks",84,85
2016,"first",3,"Dallas Mavericks","Oklahoma City Thunder",102,131
2016,"first",4,"Dallas Mavericks","Oklahoma City Thunder",108,119
2016,"first",5,"Oklahoma City Thunder","Dallas Mavericks",118,104
2016,"first",1,"Los Angeles Clippers","Portland Trail Blazers",115,95
2016,"first",2,"Los Angeles Clippers","Portland Trail Blazers",102,81
2016,"first",3,"Portland Trail Blazers","Los Angeles Clippers",96,88
2016,"first",4,"Portland Trail Blazers","Los Angeles Clippers",98,84
2016,"first",5,"Los Angeles Clippers","Portland Trail Blazers",98,108
2016,"first",6,"Portland Trail Blazers","Los Angeles Clippers",106,103
2016,"first",1,"San Antonio Spurs","Memphis Grizzlies",106,74
2016,"first",2,"San Antonio Spurs","Memphis Grizzlies",94,68
2016,"first",3,"Memphis Grizzlies","San Antonio Spurs",87,96
2016,"first",4,"Memphis Grizzlies","San Antonio Spurs",95,116
2015,"final",1,"Golden State Warriors","Cleveland Cavaliers",108,100
2015,"final",2,"Golden State Warriors","Cleveland Cavaliers",93,95
2015,"final",3,"Cleveland Cavaliers","Golden State Warriors",96,91
2015,"final",4,"Cleveland Cavaliers","Golden State Warriors",82,103
2015,"final",5,"Golden State Warriors","Cleveland Cavaliers",104,91
2015,"final",6,"Cleveland Cavaliers","Golden State Warriors",97,105
2015,"third",1,"Atlanta Hawks","Cleveland Cavaliers",89,97
2015,"third",2,"Atlanta Hawks","Cleveland Cavaliers",82,94
2015,"third",3,"Cleveland Cavaliers","Atlanta Hawks",114,111
2015,"third",4,"Cleveland Cavaliers","Atlanta Hawks",118,88
2015,"third",1,"Golden State Warriors","Houston Rockets",110,106
2015,"third",2,"Golden State Warriors","Houston Rockets",99,98
2015,"third",3,"Houston Rockets","Golden State Warriors",80,115
2015,"third",4,"Houston Rockets","Golden State Warriors",128,115
2015,"third",5,"Golden State Warriors","Houston Rockets",104,90
2015,"second",1,"Atlanta Hawks","Washington Wizards",98,104
2015,"second",2,"Atlanta Hawks","Washington Wizards",106,90
2015,"second",3,"Washington Wizards","Atlanta Hawks",103,101
2015,"second",4,"Washington Wizards","Atlanta Hawks",101,106
2015,"second",5,"Atlanta Hawks","Washington Wizards",82,81
2015,"second",6,"Washington Wizards","Atlanta Hawks",91,94
2015,"second",1,"Cleveland Cavaliers","Chicago Bulls",92,99
2015,"second",2,"Cleveland Cavaliers","Chicago Bulls",106,91
2015,"second",3,"Chicago Bulls","Cleveland Cavaliers",99,96
2015,"second",4,"Chicago Bulls","Cleveland Cavaliers",84,86
2015,"second",5,"Cleveland Cavaliers","Chicago Bulls",106,101
2015,"second",6,"Chicago Bulls","Cleveland Cavaliers",73,94
2015,"second",1,"Golden State Warriors","Memphis Grizzlies",101,86
2015,"second",2,"Golden State Warriors","Memphis Grizzlies",90,97
2015,"second",3,"Memphis Grizzlies","Golden State Warriors",99,89
2015,"second",4,"Memphis Grizzlies","Golden State Warriors",84,101
2015,"second",5,"Golden State Warriors","Memphis Grizzlies",98,78
2015,"second",6,"Memphis Grizzlies","Golden State Warriors",95,108
2015,"second",1,"Houston Rockets","Los Angeles Clippers",101,117
2015,"second",2,"Houston Rockets","Los Angeles Clippers",115,109
2015,"second",3,"Los Angeles Clippers","Houston Rockets",124,99
2015,"second",4,"Los Angeles Clippers","Houston Rockets",128,95
2015,"second",5,"Houston Rockets","Los Angeles Clippers",124,103
2015,"second",6,"Los Angeles Clippers","Houston Rockets",107,119
2015,"second",7,"Houston Rockets","Los Angeles Clippers",113,100
2015,"first",1,"Atlanta Hawks","Brooklyn Nets",99,92
2015,"first",2,"Atlanta Hawks","Brooklyn Nets",96,91
2015,"first",3,"Brooklyn Nets","Atlanta Hawks",91,83
2015,"first",4,"Brooklyn Nets","Atlanta Hawks",120,115
2015,"first",5,"Atlanta Hawks","Brooklyn Nets",107,97
2015,"first",6,"Brooklyn Nets","Atlanta Hawks",87,111
2015,"first",1,"Chicago Bulls","Milwaukee Bucks",103,91
2015,"first",2,"Chicago Bulls","Milwaukee Bucks",91,82
2015,"first",3,"Milwaukee Bucks","Chicago Bulls",106,113
2015,"first",4,"Milwaukee Bucks","Chicago Bulls",92,90
2015,"first",5,"Chicago Bulls","Milwaukee Bucks",88,94
2015,"first",6,"Milwaukee Bucks","Chicago Bulls",66,120
2015,"first",1,"Cleveland Cavaliers","Boston Celtics",113,100
2015,"first",2,"Cleveland Cavaliers","Boston Celtics",99,91
2015,"first",3,"Boston Celtics","Cleveland Cavaliers",95,103
2015,"first",4,"Boston Celtics","Cleveland Cavaliers",93,101
2015,"first",1,"Toronto Raptors","Washington Wizards",86,93
2015,"first",2,"Toronto Raptors","Washington Wizards",106,117
2015,"first",3,"Washington Wizards","Toronto Raptors",106,99
2015,"first",4,"Washington Wizards","Toronto Raptors",125,94
2015,"first",1,"Golden State Warriors","New Orleans Pelicans",106,99
2015,"first",2,"Golden State Warriors","New Orleans Pelicans",97,87
2015,"first",3,"New Orleans Pelicans","Golden State Warriors",119,123
2015,"first",4,"New Orleans Pelicans","Golden State Warriors",98,109
2015,"first",1,"Houston Rockets","Dallas Mavericks",118,108
2015,"first",2,"Houston Rockets","Dallas Mavericks",111,99
2015,"first",3,"Dallas Mavericks","Houston Rockets",128,130
2015,"first",4,"Dallas Mavericks","Houston Rockets",121,109
2015,"first",5,"Houston Rockets","Dallas Mavericks",103,94
2015,"first",1,"Los Angeles Clippers","San Antonio Spurs",107,92
2015,"first",2,"Los Angeles Clippers","San Antonio Spurs",107,111
2015,"first",3,"San Antonio Spurs","Los Angeles Clippers",100,73
2015,"first",4,"San Antonio Spurs","Los Angeles Clippers",105,114
2015,"first",5,"Los Angeles Clippers","San Antonio Spurs",107,111
2015,"first",6,"San Antonio Spurs","Los Angeles Clippers",96,102
2015,"first",7,"Los Angeles Clippers","San Antonio Spurs",111,109
2015,"first",1,"Memphis Grizzlies","Portland Trail Blazers",100,86
2015,"first",2,"Memphis Grizzlies","Portland Trail Blazers",97,82
2015,"first",3,"Portland Trail Blazers","Memphis Grizzlies",109,115
2015,"first",4,"Portland Trail Blazers","Memphis Grizzlies",99,92
2015,"first",5,"Memphis Grizzlies","Portland Trail Blazers",99,93
2014,"final",1,"San Antonio Spurs","Miami Heat",110,95
2014,"final",2,"San Antonio Spurs","Miami Heat",96,98
2014,"final",3,"Miami Heat","San Antonio Spurs",92,111
2014,"final",4,"Miami Heat","San Antonio Spurs",86,107
2014,"final",5,"San Antonio Spurs","Miami Heat",104,87
2014,"third",1,"Indiana Pacers","Miami Heat",107,96
2014,"third",2,"Indiana Pacers","Miami Heat",83,87
2014,"third",3,"Miami Heat","Indiana Pacers",99,87
2014,"third",4,"Miami Heat","Indiana Pacers",102,90
2014,"third",5,"Indiana Pacers","Miami Heat",93,90
2014,"third",6,"Miami Heat","Indiana Pacers",117,92
2014,"third",1,"San Antonio Spurs","Oklahoma City Thunder",122,105
2014,"third",2,"San Antonio Spurs","Oklahoma City Thunder",112,77
2014,"third",3,"Oklahoma City Thunder","San Antonio Spurs",106,97
2014,"third",4,"Oklahoma City Thunder","San Antonio Spurs",105,92
2014,"third",5,"San Antonio Spurs","Oklahoma City Thunder",117,89
2014,"third",6,"Oklahoma City Thunder","San Antonio Spurs",107,112
2014,"second",1,"Indiana Pacers","Washington Wizards",96,102
2014,"second",2,"Indiana Pacers","Washington Wizards",86,82
2014,"second",3,"Washington Wizards","Indiana Pacers",63,85
2014,"second",4,"Washington Wizards","Indiana Pacers",92,95
2014,"second",5,"Indiana Pacers","Washington Wizards",79,102
2014,"second",6,"Washington Wizards","Indiana Pacers",80,93
2014,"second",1,"Miami Heat","Brooklyn Nets",107,86
2014,"second",2,"Miami Heat","Brooklyn Nets",94,82
2014,"second",3,"Brooklyn Nets","Miami Heat",104,90
2014,"second",4,"Brooklyn Nets","Miami Heat",96,102
2014,"second",5,"Miami Heat","Brooklyn Nets",96,94
2014,"second",1,"Oklahoma City Thunder","Los Angeles Clippers",105,122
2014,"second",2,"Oklahoma City Thunder","Los Angeles Clippers",112,101
2014,"second",3,"Los Angeles Clippers","Oklahoma City Thunder",112,118
2014,"second",4,"Los Angeles Clippers","Oklahoma City Thunder",101,99
2014,"second",5,"Oklahoma City Thunder","Los Angeles Clippers",105,104
2014,"second",6,"Los Angeles Clippers","Oklahoma City Thunder",98,104
2014,"second",1,"San Antonio Spurs","Portland Trail Blazers",116,92
2014,"second",2,"San Antonio Spurs","Portland Trail Blazers",114,97
2014,"second",3,"Portland Trail Blazers","San Antonio Spurs",103,118
2014,"second",4,"Portland Trail Blazers","San Antonio Spurs",103,92
2014,"second",5,"San Antonio Spurs","Portland Trail Blazers",104,82
2014,"first",1,"Toronto Raptors","Brooklyn Nets",87,94
2014,"first",2,"Toronto Raptors","Brooklyn Nets",100,95
2014,"first",3,"Brooklyn Nets","Toronto Raptors",102,98
2014,"first",4,"Brooklyn Nets","Toronto Raptors",79,87
2014,"first",5,"Toronto Raptors","Brooklyn Nets",115,113
2014,"first",6,"Brooklyn Nets","Toronto Raptors",97,83
2014,"first",7,"Toronto Raptors","Brooklyn Nets",103,104
2014,"first",1,"Indiana Pacers","Atlanta Hawks",93,101
2014,"first",2,"Indiana Pacers","Atlanta Hawks",101,85
2014,"first",3,"Atlanta Hawks","Indiana Pacers",98,85
2014,"first",4,"Atlanta Hawks","Indiana Pacers",88,91
2014,"first",5,"Indiana Pacers","Atlanta Hawks",97,107
2014,"first",6,"Atlanta Hawks","Indiana Pacers",88,95
2014,"first",7,"Indiana Pacers","Atlanta Hawks",92,80
2014,"first",1,"Miami Heat","Charlotte Bobcats",99,88
2014,"first",2,"Miami Heat","Charlotte Bobcats",101,97
2014,"first",3,"Charlotte Bobcats","Miami Heat",85,98
2014,"first",4,"Charlotte Bobcats","Miami Heat",98,109
2014,"first",1,"Chicago Bulls","Washington Wizards",93,102
2014,"first",2,"Chicago Bulls","Washington Wizards",99,101
2014,"first",3,"Washington Wizards","Chicago Bulls",97,100
2014,"first",4,"Washington Wizards","Chicago Bulls",98,89
2014,"first",5,"Chicago Bulls","Washington Wizards",69,75
2014,"first",1,"Los Angeles Clippers","Golden State Warriors",105,109
2014,"first",2,"Los Angeles Clippers","Golden State Warriors",138,98
2014,"first",3,"Golden State Warriors","Los Angeles Clippers",96,98
2014,"first",4,"Golden State Warriors","Los Angeles Clippers",118,97
2014,"first",5,"Los Angeles Clippers","Golden State Warriors",113,103
2014,"first",6,"Golden State Warriors","Los Angeles Clippers",100,99
2014,"first",7,"Los Angeles Clippers","Golden State Warriors",126,121
2014,"first",1,"Oklahoma City Thunder","Memphis Grizzlies",100,86
2014,"first",2,"Oklahoma City Thunder","Memphis Grizzlies",105,111
2014,"first",3,"Memphis Grizzlies","Oklahoma City Thunder",98,95
2014,"first",4,"Memphis Grizzlies","Oklahoma City Thunder",89,92
2014,"first",5,"Oklahoma City Thunder","Memphis Grizzlies",99,100
2014,"first",6,"Memphis Grizzlies","Oklahoma City Thunder",84,104
2014,"first",7,"Oklahoma City Thunder","Memphis Grizzlies",120,109
2014,"first",1,"Houston Rockets","Portland Trail Blazers",120,122
2014,"first",2,"Houston Rockets","Portland Trail Blazers",105,112
2014,"first",3,"Portland Trail Blazers","Houston Rockets",116,121
2014,"first",4,"Portland Trail Blazers","Houston Rockets",123,120
2014,"first",5,"Houston Rockets","Portland Trail Blazers",108,98
2014,"first",6,"Portland Trail Blazers","Houston Rockets",99,98
2014,"first",1,"San Antonio Spurs","Dallas Mavericks",90,85
2014,"first",2,"San Antonio Spurs","Dallas Mavericks",92,113
2014,"first",3,"Dallas Mavericks","San Antonio Spurs",109,108
2014,"first",4,"Dallas Mavericks","San Antonio Spurs",89,93
2014,"first",5,"San Antonio Spurs","Dallas Mavericks",109,103
2014,"first",6,"Dallas Mavericks","San Antonio Spurs",113,111
2014,"first",7,"San Antonio Spurs","Dallas Mavericks",119,96
2013,"final",1,"Miami Heat","San Antonio Spurs",88,92
2013,"final",2,"Miami Heat","San Antonio Spurs",103,84
2013,"final",3,"San Antonio Spurs","Miami Heat",113,77
2013,"final",4,"San Antonio Spurs","Miami Heat",93,109
2013,"final",5,"San Antonio Spurs","Miami Heat",114,104
2013,"final",6,"Miami Heat","San Antonio Spurs",103,100
2013,"final",7,"Miami Heat","San Antonio Spurs",95,88
2013,"third",1,"Miami Heat","Indiana Pacers",103,102
2013,"third",2,"Miami Heat","Indiana Pacers",93,97
2013,"third",3,"Indiana Pacers","Miami Heat",96,114
2013,"third",4,"Indiana Pacers","Miami Heat",99,92
2013,"third",5,"Miami Heat","Indiana Pacers",90,79
2013,"third",6,"Indiana Pacers","Miami Heat",91,77
2013,"third",7,"Miami Heat","Indiana Pacers",99,76
2013,"third",1,"San Antonio Spurs","Memphis Grizzlies",105,83
2013,"third",2,"San Antonio Spurs","Memphis Grizzlies",93,89
2013,"third",3,"Memphis Grizzlies","San Antonio Spurs",93,104
2013,"third",4,"Memphis Grizzlies","San Antonio Spurs",86,93
2013,"second",1,"New York Knicks","Indiana Pacers",95,102
2013,"second",2,"New York Knicks","Indiana Pacers",105,79
2013,"second",3,"Indiana Pacers","New York Knicks",82,71
2013,"second",4,"Indiana Pacers","New York Knicks",93,82
2013,"second",5,"New York Knicks","Indiana Pacers",85,75
2013,"second",6,"Indiana Pacers","New York Knicks",106,99
2013,"second",1,"Miami Heat","Chicago Bulls",86,93
2013,"second",2,"Miami Heat","Chicago Bulls",115,78
2013,"second",3,"Chicago Bulls","Miami Heat",94,104
2013,"second",4,"Chicago Bulls","Miami Heat",65,88
2013,"second",5,"Miami Heat","Chicago Bulls",94,91
2013,"second",1,"Oklahoma City Thunder","Memphis Grizzlies",93,91
2013,"second",2,"Oklahoma City Thunder","Memphis Grizzlies",93,99
2013,"second",3,"Memphis Grizzlies","Oklahoma City Thunder",87,81
2013,"second",4,"Memphis Grizzlies","Oklahoma City Thunder",103,97
2013,"second",5,"Oklahoma City Thunder","Memphis Grizzlies",84,88
2013,"second",1,"San Antonio Spurs","Golden State Warriors",129,127
2013,"second",2,"San Antonio Spurs","Golden State Warriors",91,100
2013,"second",3,"Golden State Warriors","San Antonio Spurs",92,102
2013,"second",4,"Golden State Warriors","San Antonio Spurs",97,87
2013,"second",5,"San Antonio Spurs","Golden State Warriors",109,91
2013,"second",6,"Golden State Warriors","San Antonio Spurs",82,94
2013,"first",1,"Brooklyn Nets","Chicago Bulls",106,89
2013,"first",2,"Brooklyn Nets","Chicago Bulls",82,90
2013,"first",3,"Chicago Bulls","Brooklyn Nets",79,76
2013,"first",4,"Chicago Bulls","Brooklyn Nets",142,134
2013,"first",5,"Brooklyn Nets","Chicago Bulls",110,91
2013,"first",6,"Chicago Bulls","Brooklyn Nets",92,95
2013,"first",7,"Brooklyn Nets","Chicago Bulls",93,99
2013,"first",1,"Indiana Pacers","Atlanta Hawks",107,90
2013,"first",2,"Indiana Pacers","Atlanta Hawks",113,98
2013,"first",3,"Atlanta Hawks","Indiana Pacers",90,69
2013,"first",4,"Atlanta Hawks","Indiana Pacers",102,91
2013,"first",5,"Indiana Pacers","Atlanta Hawks",106,83
2013,"first",6,"Atlanta Hawks","Indiana Pacers",73,81
2013,"first",1,"Miami Heat","Milwaukee Bucks",110,87
2013,"first",2,"Miami Heat","Milwaukee Bucks",98,86
2013,"first",3,"Milwaukee Bucks","Miami Heat",91,104
2013,"first",4,"Milwaukee Bucks","Miami Heat",77,88
2013,"first",1,"New York Knicks","Boston Celtics",85,78
2013,"first",2,"New York Knicks","Boston Celtics",87,71
2013,"first",3,"Boston Celtics","New York Knicks",76,90
2013,"first",4,"Boston Celtics","New York Knicks",97,90
2013,"first",5,"New York Knicks","Boston Celtics",86,92
2013,"first",6,"Boston Celtics","New York Knicks",80,88
2013,"first",1,"Denver Nuggets","Golden State Warriors",97,95
2013,"first",2,"Denver Nuggets","Golden State Warriors",117,131
2013,"first",3,"Golden State Warriors","Denver Nuggets",110,108
2013,"first",4,"Golden State Warriors","Denver Nuggets",115,101
2013,"first",5,"Denver Nuggets","Golden State Warriors",107,100
2013,"first",6,"Golden State Warriors","Denver Nuggets",92,88
2013,"first",1,"Los Angeles Clippers","Memphis Grizzlies",112,91
2013,"first",2,"Los Angeles Clippers","Memphis Grizzlies",93,91
2013,"first",3,"Memphis Grizzlies","Los Angeles Clippers",94,82
2013,"first",4,"Memphis Grizzlies","Los Angeles Clippers",104,83
2013,"first",5,"Los Angeles Clippers","Memphis Grizzlies",93,103
2013,"first",6,"Memphis Grizzlies","Los Angeles Clippers",118,105
2013,"first",1,"Oklahoma City Thunder","Houston Rockets",120,91
2013,"first",2,"Oklahoma City Thunder","Houston Rockets",105,102
2013,"first",3,"Houston Rockets","Oklahoma City Thunder",101,104
2013,"first",4,"Houston Rockets","Oklahoma City Thunder",105,103
2013,"first",5,"Oklahoma City Thunder","Houston Rockets",100,107
2013,"first",6,"Houston Rockets","Oklahoma City Thunder",94,103
2013,"first",1,"San Antonio Spurs","Los Angeles Lakers",91,79
2013,"first",2,"San Antonio Spurs","Los Angeles Lakers",102,91
2013,"first",3,"Los Angeles Lakers","San Antonio Spurs",89,120
2013,"first",4,"Los Angeles Lakers","San Antonio Spurs",82,103
2012,"final",1,"Oklahoma City Thunder","Miami Heat",105,94
2012,"final",2,"Oklahoma City Thunder","Miami Heat",96,100
2012,"final",3,"Miami Heat","Oklahoma City Thunder",91,85
2012,"final",4,"Miami Heat","Oklahoma City Thunder",104,98
2012,"final",5,"Miami Heat","Oklahoma City Thunder",121,106
2012,"third",1,"Miami Heat","Boston Celtics",93,79
2012,"third",2,"Miami Heat","Boston Celtics",115,111
2012,"third",3,"Boston Celtics","Miami Heat",101,91
2012,"third",4,"Boston Celtics","Miami Heat",93,91
2012,"third",5,"Miami Heat","Boston Celtics",90,94
2012,"third",6,"Boston Celtics","Miami Heat",79,98
2012,"third",7,"Miami Heat","Boston Celtics",101,88
2012,"third",1,"San Antonio Spurs","Oklahoma City Thunder",101,98
2012,"third",2,"San Antonio Spurs","Oklahoma City Thunder",120,111
2012,"third",3,"Oklahoma City Thunder","San Antonio Spurs",102,82
2012,"third",4,"Oklahoma City Thunder","San Antonio Spurs",109,103
2012,"third",5,"San Antonio Spurs","Oklahoma City Thunder",103,108
2012,"third",6,"Oklahoma City Thunder","San Antonio Spurs",107,99
2012,"second",1,"Boston Celtics","Philadelphia 76ers",92,91
2012,"second",2,"Boston Celtics","Philadelphia 76ers",81,82
2012,"second",3,"Philadelphia 76ers","Boston Celtics",91,107
2012,"second",4,"Philadelphia 76ers","Boston Celtics",92,83
2012,"second",5,"Boston Celtics","Philadelphia 76ers",101,85
2012,"second",6,"Philadelphia 76ers","Boston Celtics",82,75
2012,"second",7,"Boston Celtics","Philadelphia 76ers",85,75
2012,"second",1,"Miami Heat","Indiana Pacers",95,86
2012,"second",2,"Miami Heat","Indiana Pacers",75,78
2012,"second",3,"Indiana Pacers","Miami Heat",94,75
2012,"second",4,"Indiana Pacers","Miami Heat",93,101
2012,"second",5,"Miami Heat","Indiana Pacers",115,83
2012,"second",6,"Indiana Pacers","Miami Heat",93,105
2012,"second",1,"Oklahoma City Thunder","Los Angeles Lakers",119,90
2012,"second",2,"Oklahoma City Thunder","Los Angeles Lakers",77,75
2012,"second",3,"Los Angeles Lakers","Oklahoma City Thunder",99,96
2012,"second",4,"Los Angeles Lakers","Oklahoma City Thunder",100,103
2012,"second",5,"Oklahoma City Thunder","Los Angeles Lakers",106,90
2012,"second",1,"San Antonio Spurs","Los Angeles Clippers",108,92
2012,"second",2,"San Antonio Spurs","Los Angeles Clippers",105,88
2012,"second",3,"Los Angeles Clippers","San Antonio Spurs",86,96
2012,"second",4,"Los Angeles Clippers","San Antonio Spurs",99,102
2012,"first",1,"Atlanta Hawks","Boston Celtics",83,74
2012,"first",2,"Atlanta Hawks","Boston Celtics",80,87
2012,"first",3,"Boston Celtics","Atlanta Hawks",90,84
2012,"first",4,"Boston Celtics","Atlanta Hawks",101,79
2012,"first",5,"Atlanta Hawks","Boston Celtics",87,86
2012,"first",6,"Boston Celtics","Atlanta Hawks",83,80
2012,"first",1,"Indiana Pacers","Orlando Magic",77,81
2012,"first",2,"Indiana Pacers","Orlando Magic",93,78
2012,"first",3,"Orlando Magic","Indiana Pacers",74,97
2012,"first",4,"Orlando Magic","Indiana Pacers",99,101
2012,"first",5,"Indiana Pacers","Orlando Magic",105,87
2012,"first",1,"Miami Heat","New York Knicks",100,67
2012,"first",2,"Miami Heat","New York Knicks",104,94
2012,"first",3,"New York Knicks","Miami Heat",70,87
2012,"first",4,"New York Knicks","Miami Heat",89,87
2012,"first",5,"Miami Heat","New York Knicks",106,94
2012,"first",1,"Chicago Bulls","Philadelphia 76ers",103,91
2012,"first",2,"Chicago Bulls","Philadelphia 76ers",92,109
2012,"first",3,"Philadelphia 76ers","Chicago Bulls",79,74
2012,"first",4,"Philadelphia 76ers","Chicago Bulls",89,82
2012,"first",5,"Chicago Bulls","Philadelphia 76ers",77,69
2012,"first",6,"Philadelphia 76ers","Chicago Bulls",79,78
2012,"first",1,"Memphis Grizzlies","Los Angeles Clippers",98,99
2012,"first",2,"Memphis Grizzlies","Los Angeles Clippers",105,98
2012,"first",3,"Los Angeles Clippers","Memphis Grizzlies",87,86
2012,"first",4,"Los Angeles Clippers","Memphis Grizzlies",101,97
2012,"first",5,"Memphis Grizzlies","Los Angeles Clippers",92,80
2012,"first",6,"Los Angeles Clippers","Memphis Grizzlies",88,90
2012,"first",7,"Memphis Grizzlies","Los Angeles Clippers",72,82
2012,"first",1,"Los Angeles Lakers","Denver Nuggets",103,88
2012,"first",2,"Los Angeles Lakers","Denver Nuggets",104,100
2012,"first",3,"Denver Nuggets","Los Angeles Lakers",99,84
2012,"first",4,"Denver Nuggets","Los Angeles Lakers",88,92
2012,"first",5,"Los Angeles Lakers","Denver Nuggets",99,102
2012,"first",6,"Denver Nuggets","Los Angeles Lakers",113,96
2012,"first",7,"Los Angeles Lakers","Denver Nuggets",96,87
2012,"first",1,"Oklahoma City Thunder","Dallas Mavericks",99,98
2012,"first",2,"Oklahoma City Thunder","Dallas Mavericks",102,99
2012,"first",3,"Dallas Mavericks","Oklahoma City Thunder",79,95
2012,"first",4,"Dallas Mavericks","Oklahoma City Thunder",97,103
2012,"first",1,"San Antonio Spurs","Utah Jazz",106,91
2012,"first",2,"San Antonio Spurs","Utah Jazz",114,83
2012,"first",3,"Utah Jazz","San Antonio Spurs",90,102
2012,"first",4,"Utah Jazz","San Antonio Spurs",81,87
2011,"final",1,"Miami Heat","Dallas Mavericks",92,84
2011,"final",2,"Miami Heat","Dallas Mavericks",93,95
2011,"final",3,"Dallas Mavericks","Miami Heat",86,88
2011,"final",4,"Dallas Mavericks","Miami Heat",86,83
2011,"final",5,"Dallas Mavericks","Miami Heat",112,103
2011,"final",6,"Miami Heat","Dallas Mavericks",95,105
2011,"third",1,"Chicago Bulls","Miami Heat",103,82
2011,"third",2,"Chicago Bulls","Miami Heat",75,85
2011,"third",3,"Miami Heat","Chicago Bulls",96,85
2011,"third",4,"Miami Heat","Chicago Bulls",101,93
2011,"third",5,"Chicago Bulls","Miami Heat",80,83
2011,"third",1,"Dallas Mavericks","Oklahoma City Thunder",121,112
2011,"third",2,"Dallas Mavericks","Oklahoma City Thunder",100,106
2011,"third",3,"Oklahoma City Thunder","Dallas Mavericks",87,93
2011,"third",4,"Oklahoma City Thunder","Dallas Mavericks",105,112
2011,"third",5,"Dallas Mavericks","Oklahoma City Thunder",100,96
2011,"second",1,"Chicago Bulls","Atlanta Hawks",95,103
2011,"second",2,"Chicago Bulls","Atlanta Hawks",86,73
2011,"second",3,"Atlanta Hawks","Chicago Bulls",82,99
2011,"second",4,"Atlanta Hawks","Chicago Bulls",100,88
2011,"second",5,"Chicago Bulls","Atlanta Hawks",95,83
2011,"second",6,"Atlanta Hawks","Chicago Bulls",73,93
2011,"second",1,"Miami Heat","Boston Celtics",99,90
2011,"second",2,"Miami Heat","Boston Celtics",102,91
2011,"second",3,"Boston Celtics","Miami Heat",97,81
2011,"second",4,"Boston Celtics","Miami Heat",90,98
2011,"second",5,"Miami Heat","Boston Celtics",97,87
2011,"second",1,"Los Angeles Lakers","Dallas Mavericks",94,96
